en,tr,title,speaker,duration,tags
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											After centuries of war,
											the world’s kingdoms 
have come to an agreement.
											Every five years, teams representing 
the elves, goblins, and treefolk
											will compete in a grand tournament 
of dragon jousting.
											Every team will face 
each of the others once.
											The kingdom whose team wins the most 
matches will rule all of Center-Realm
											until the next tournament.
											To prevent any outside meddling,
											the games are to be conducted 
in absolute secret
											except for a group of wizards 
who will make sure
											nobody uses enchantments, hexes, 
or spells to cheat.
									","
											Yüzyıllar süren savaştan sonra
											dünyanın krallıkları
bir anlaşmaya vardılar.
											Her beş yılda elfleri, goblinleri
ve treefolkları temsil eden birer takım
											büyük ejderha turnuvasında yarışacak.
											Her takım diğer takımlarla
sadece bir kez karşılaşacak.
											En fazla maçı kazanan takımın krallığı
											bir sonraki turnuvaya kadar
Merkezî Krallık'ı yönetecek.
											Dışarıdan müdahaleyi önlemek için
											yarış tam bir gizlilikle yürütülecek
											ancak kimsenin sihir, büyü
ve tılsım kullanmadığından emin olmak için
											sadece bir grup büyücü
yarışmayı izleyecek.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											You’ve been given the extremely 
important job of recording the scores
											for the first inaugural tournament.
											But the opening celebrations 
get a bit out of control,
											and when you wake up,
											you realize the games 
are already underway.
											Fortunately, no one has noticed 
your absence so far.
											However, you need to get up to speed 
quickly;
											if your boss, 
the head tournament official,
											finds out you’ve been sleeping on the job,
you’ll lose your head.
									","
											Açılış turnuvasında, önemli bir görev olan
puanları kaydetme görevi sana veriliyor.
											Fakat açılış kutlamaları
biraz kontrolden çıkıyor
											ve uyandığında yarışmanın
çoktan başlamış olduğunu fark ediyorsun.
											Neyse ki yokluğunu kimse fark etmemiş.
											Buna rağmen son gelişmelerden
hemen haberdar olman gerekiyor
											çünkü patronun, yani turnuvanın başkanı,
görevdeyken uyuduğunu öğrenirse
											boynunu vuracak.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											After weighing your options,
											you decide to offer your life’s savings 
to one of the regulation wizards
											in return for the information,
											giving him your blank scorecard 
to fill out.
											But before he can finish, 
your boss walks into the tent.
											You barely manage to hide the scorecard 
in time,
											and the wizard excuses himself.
									","
											Seçeneklerini tarttıktan sonra
											tüm birikimini, bilgi karşılığında
düzen büyücülerinden birisine veriyorsun.
											Boş olan puan tablosunu
doldurması için ona veriyorsun
											ama o hepsini dolduramadan önce
patronun çadıra giriyor.
											Puan tablosunu son anda saklayabiliyorsun
ve büyücü gitmek için izin istiyor.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											Your boss chuckles.
											“Hope you didn’t believe anything 
Gorbak’s been saying—
											he’s been cursed to tell only lies, 
even in writing.
											Anyway, can you believe how low-scoring 
the tournament’s been?
											Every team has played at least once,
											yet not a single match with 
a combined score of more than five hits!
											Anyhow, I’ll be back in a minute 
to review your scorecard.”
											You laugh along,
											and when he leaves you look 
at the partially completed card,
											now knowing every single number 
on it is wrong.
									","
											Patronun gülüyor,
											""Gorbak'ın dediği hiçbir şeye
inanmıyorsundur umarım,
											o yalan söylemekle lanetli,
yazdığında bile.
											Her neyse, turnuvanın bu kadar
düşük skorlu olduğuna inanabiliyor musun?
											Her takım en az bir kere yarıştı
											fakat toplamda beş vuruş yapılan
hiçbir maç olmadı!
											Neyse, puan tablosuna bakmak için
bir dakika içinde geri döneceğim.""
											Gülüp geçiştiriyorsun
											ve patronun gittiğinde, üzerinde yazan
tüm sayıların yanlış olduğunu bildiğin
											yarısı doldurulmuş
puan tablosuna bakıyorsun.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											You’ve only got one chance 
to save yourself,
											so what’s the real score of each match?
									","
											Kendini kurtarmak için
yalnızca bir şansın var.
											Peki her maçın gerçek sonucu ne?
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
											Pause now to figure it out for yourself.
									","
											Cevabı kendiniz bulmak istiyorsanız
videoyu şimdi durdurun.
									",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
"
","
",Can you solve the dragon jousting riddle?,Alex Gendler,4:23,"TED-Ed,animation,education,math"
