en,es,pt,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											Let's play a game.
											Imagine that you are in Las Vegas,
											in a casino,
											and you decide to play a game
on one of the casino's computers,
											just like you might play
solitaire or chess.
											The computer can make moves
in the game, just like a human player.
											This is a coin game.
											It starts with a coin showing heads,
											and the computer will play first.
											It can choose to flip the coin or not,
											but you don't get to see the outcome.
											Next, it's your turn.
											You can also choose
to flip the coin or not,
											and your move will not be revealed
to your opponent, the computer.
											Finally, the computer plays again,
and can flip the coin or not,
											and after these three rounds,
											the coin is revealed,
											and if it is heads, the computer wins,
											if it's tails, you win.
									","
											Juguemos un juego.
											Imaginen que están en Las Vegas,
											en un casino,
											y deciden jugar un juego
en una de las computadoras,
											como cuando juegan
al solitario o al ajedrez.
											La computadora puede hacer jugadas
como si fuera un jugador humano.
											Este va a ser un juego de monedas.
											Empieza con una moneda mostrando cara,
											y la computadora juega primero.
											Puede decidir entre lanzar la moneda o no,
											pero Uds. no podrán ver el resultado.
											Ahora es su turno.
											Uds. también pueden decidir
entre lanzar la moneda o no,
											y su jugada no le será revelada 
a su oponente, la computadora.
											Finalmente la computadora juega de nuevo
											y puede lanzar la moneda o no.
											Después de estas tres rondas,
											se muestra la moneda.
											Si es cara, gana la computadora.
											Si es sello, ganan Uds.
									","
											Vamos jogar um jogo.
											Imaginem que estão em Las Vegas,
											num casino
											e decidem jogar um jogo
num dos computadores do casino,
											como quando fazem uma paciência
ou jogam xadrez.
											O computador pode fazer jogadas
no jogo, como se fosse um ser humano.
											É um jogo de moedas.
											Começa com uma moeda a mostrar caras
											e o computador é o primeiro a jogar.
											Pode optar por virar a moeda ou não,
											mas não vemos o resultado.
											A seguir é a nossa vez.
											Também podemos optar
por virar a moeda ou não
											e a nossa jogada não é revelada
ao adversário, o computador.
											Por fim, o computador volta a jogar
e pode virar a moeda ou não.
											Ao fim destas três jogadas,
											a moeda aparece.
											Se for cara, o computador ganha;
											se for coroa, ganhamos nós.
									","
											Jouons ensemble.
											Imaginez que vous êtes à Las Vegas
											dans un casino.
											Vous décidez de jouer à un jeu,
sur un ordinateur du casino,
											tout comme vous pourriez jouer
au solitaire ou aux échecs.
											L'ordinateur peut faire ses mouvements
dans le jeu comme un joueur humain.
											Ceci est un jeu de jetons.
											On commence avec un jeton,
côté face vers le haut,
											et l'ordinateur joue en premier.
											Il peut choisir, ou non,
de tirer à pile ou face
											mais vous ne pouvez pas 
connaître le résultat.
											Maintenant, c'est à votre tour.
											Vous pouvez aussi choisir
de tirer à pile ou face, ou non,
											et votre tour n'est pas révélé
à votre adversaire, l'ordinateur.
											Ensuite, l'ordinateur joue de nouveau
et peut tirer à pile ou face, ou non.
											Et après ces trois tours,
											le jeton est dévoilé,
											et si c'est face, l'ordinateur gagne,
											si c'est pile, vous gagnez.
									","
											Haydi bir oyun oynayalım.
											Las Vegas'da olduğunuzu düşünün,
											kumarhanedesiniz
											ve oradaki bilgisayarlardan birinde 
oyun oynamaya karar veriyorsunuz,
											aynı solitaire ya da satranç oynar gibi.
											Bilgisayar da aynı bir insan
gibi hamleler yapabiliyor.
											Oyun yazı-tura.
											Tura ile başlanıyor
											ve ilk önce bilgisayar oynayacak.
											Yazı-tura atmak onun seçimine bırakılmış
											fakat siz sonucu göremiyorsunuz.
											Şimdi sıra sizde.
											Siz de parayı atabilir ya da
olduğu gibi bırakabilirsiniz,
											sizin hamleniz rakibinize 
yani bilgisayara gösterilmeyecektir.
											Son olarak bilgisayar yine oynayacak,
parayı ister atar ister atmaz.
											Bu üç turun sonunda
											para açılır.
											Eğer turaysa bilgisayar kazanır.
											yazıysa siz kazanırsınız.
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											So it's a pretty simple game,
											and if everybody plays honestly,
and the coin is fair,
											then you have a 50 percent chance
of winning this game.
											And to confirm that,
											I asked my students to play
this game on our computers,
											and after many, many tries,
											their winning rate ended up
being 50 percent, or close to 50 percent,
											as expected.
											Sounds like a boring game, right?
									","
											Es un juego muy simple.
											Si todos juegan honestamente 
y si la moneda es imparcial,
											tienen un 50 % de probabilidad ganar.
											Para confirmarlo,
											le pedí a mis alumnos que jugaran
este juego en sus computadoras.
											Después de muchos intentos,
											su tasa de éxito resultó ser
alrededor del 50 %,
											como se esperaba.
											Parece un juego aburrido, ¿cierto?
									","
											É um jogo muito simples.
											Se todos jogarem sem batota,
e a moeda for perfeita,
											temos 50% de probabilidade
de ganhar este jogo.
											Para confirmar isso,
											pedi aos meus alunos para jogarem
este jogo nos seus computadores.
											Depois de muitas, muitas tentativas
											a taxa de vitórias acabou por ser
de 50% ou perto dos 50%,
											conforme esperado.
											Parece ser um jogo aborrecido, não é?
									","
											C'est donc un jeu plutôt simple
											et si chacun joue honnêtement
et que le jeton n'est pas truqué,
											vous avez 50% de chances
de gagner à ce jeu.
											Pour confirmer ceci,
											j'ai demandé à mes étudiants
d'y jouer sur nos ordinateurs.
											Après de très nombreux essais,
											leur taux de victoire a fini
par se rapprocher de 50%,
											comme prévu.
											Cela semble ennuyeux, comme jeu, non ?
									","
											Yani oldukça basit bir oyun
											ve herkes dürüstçe oynarsa
ve para da hileli değilse
											oyunu kazanma şansınız yüzde 50.
											Bunu doğrulamak için
											öğrencilerimden oyunu bilgisayarlarımızda
oynamalarını istedim.
											Pek, pek çok deneme sonucunda
											kazanma oranı yüzde 50
veya yüzde 50'ye yakın oldu
											beklendiği gibi.
											Sıkıcı bir oyun gibi geliyor değil mi?
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											But what if you could play this game
on a quantum computer?
											Now, Las Vegas casinos
do not have quantum computers,
											as far as I know,
											but IBM has built
a working quantum computer.
											Here it is.
									","
											Pero ¿qué pasaría si pudiéramos jugarlo 
en una computadora cuántica?
											Por ahora, en Las Vegas no hay
computadoras cuánticas,
											hasta donde yo sé,
											pero IBM ha construido
una computadora cuántica.
											Aquí está.
									","
											E se pudéssemos jogar este jogo
num computador quântico?
											Os casinos de Las Vegas não têm
computadores quânticos,
											tanto quanto sei,
											mas a IBM construiu
um computador quântico.
											É este.
									","
											Mais si l'on pouvait y jouer
sur un ordinateur quantique ?
											Les casinos de Las Vegas n'ont pas
encore d'ordinateurs quantiques,
											à ma connaissance,
											mais IBM a construit
un ordinateur quantique opérant.
											Le voici.
									","
											Fakat bu oyunu kuantum bilgisayarda 
oynasaydınız ne olurdu?
											Şimdilik Las Vegas kumarhanelerinde 
kuantum bilgisayar yok
											benim bildiğim kadarıyla,
											fakat IBM çalışan bir
kuantum bilgisayar yaptı.
											İşte burada.
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											But what is a quantum computer?
											Well, quantum physics describes
											the behavior of atoms
and fundamental particles,
											like electrons and photons.
											So a quantum computer operates
											by controlling the behavior
of these particles,
											but in a way that is completely different
from our regular computers.
											So a quantum computer
is not just a more powerful version
											of our current computers,
											just like a light bulb
is not a more powerful candle.
											You cannot build a light bulb
by building better and better candles.
											A light bulb is a different technology,
											based on deeper scientific understanding.
											Similarly, a quantum computer
is a new kind of device,
											based on the science of quantum physics,
											and just like a light bulb
transformed society,
											quantum computers
have the potential to impact
											so many aspects of our lives,
											including our security needs,
our health care and even the internet.
									","
											Pero ¿qué es una computadora cuántica?
											Bueno, la física cuántica describe
											el comportamiento de los átomos
y de las partículas fundamentales,
											como los electrones y los fotones.
											La computadora cuántica opera controlando
el comportamiento de estas partículas,
											pero de una manera completamente
diferente a las computadoras normales.
											Así que una computadora cuántica
no es solo una versión más poderosa
											de nuestras computadoras actuales.
											Así como la bombilla no es
una vela más poderosa.
											No se puede fabricar una bombilla
fabricando velas cada vez mejores.
											La bombilla tiene una tecnología diferente
											y se basa en un conocimiento
científico más profundo.
											Asimismo, una computadora cuántica
es una nueva clase de dispositivo,
											basado en los principios
de la física cuántica.
											Y así como la bombilla 
transformó la sociedad,
											las computadoras cuánticas
tienen el potencial de impactar
											muchos aspectos de nuestras vidas,
											incluyendo nuestra seguridad, 
la atención médica e incluso el internet.
									","
											O que é um computador quântico?
											A física quântica descreve
											o comportamento dos átomos
e das partículas fundamentais
											como eletrões e fotões.
											Assim, um computador quântico funciona
											controlando o comportamento
dessas partículas,
											mas de uma forma totalmente diferente
dos nossos computadores normais.
											Um computador quântico
não é uma versão mais potente
											dos nossos computadores normais,
											tal como uma lâmpada elétrica
não é uma vela mais potente.
											Não podemos construir uma lâmpada
construindo velas cada vez melhores.
											Uma lâmpada elétrica
é uma tecnologia diferente,
											baseada numa compreensão científica
mais profunda.
											De igual modo, um computador quântico
é um tipo novo de aparelho
											baseado na ciência da física quântica.
											Tal como a lâmpada elétrica
transformou a sociedade,
											os computadores quânticos
têm o potencial de causar impacto
											em muitos aspetos da nossa vida,
											incluindo as necessidades de segurança,
os cuidados de saúde e até a Internet.
									","
											Mais qu'est-ce qu'un
ordinateur quantique ?
											En fait, la physique quantique décrit
											le comportement des atomes
et des particules fondamentales,
											comme les électrons et les photons.
											Un ordinateur quantique fonctionne
											en contrôlant le comportement
de ces particules,
											mais d'une manière totalement différente
de nos ordinateurs habituels.
											Un ordinateur quantique n'est donc pas
uniquement une version plus puissante
											de nos ordinateurs actuels,
											de la même manière que l'ampoule
n'est pas une bougie plus puissante.
											On ne peut pas construire une ampoule
en fabriquant de meilleures bougies.
											L'ampoule est une technologie différente,
											basée sur des connaissances
scientifiques plus avancées.
											De la même façon, un ordinateur quantique
est un nouveau type d'instrument,
											fondé sur la science
de la physique quantique
											et de la même manière
que l'ampoule a transformé la société,
											les ordinateurs quantiques
ont le potentiel d'influencer
											beaucoup d'aspects de notre vie,
											y compris notre sécurité,
nos services de santé et même l'Internet.
									","
											Fakat, kuantum bilgisayar nedir?
											Kuantum fizik atomların davranışlarını
											ve elektron ve proton gibi
											temel parçacıklarını tanımlamaktadır.
											Bu nedenle kuantum bilgisayar 
bu parçacıkların davranışlarını
											kontrol ederek işlem görür,
											fakat normal bilgisayarlardan tamamen
farklı bir şekilde.
											Yani, kuantum bilgisayar sadece
											şimdiki bilgisayarların
daha güçlüolanı değildir,
											ampulün mumdan daha güçlü 
olmaması gibi.
											Daha daha iyi bir mum yaparak 
ampül yapamazsınız.
											Ampül daha derin bir 
bilimsel anlayışa dayanan
											farklı bir teknolojidir.
											Benzer şekilde, kuantum bilgisayar da 
kuantum fiziğine dayanan
											yeni bir tür cihazdır
											ve ampulün toplumu değiştirdiği gibi

											Kuantum bilgisayarların, güvenlik 
ihtiyacımız, sağlık hizmetimiz
											ve hatta internet gibi 
hayatımızın bir çok yönünü
											etkilemesi için potansiyeli bulunmaktadır.
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
","
","
","
","
",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
"
											So companies all around the world
are working to build these devices,
											and to see what
the excitement is all about,
											let's play our game on a quantum computer.
											So I can log into IBM's
quantum computer from right here,
											which means I can play the game remotely,
											and so can you.
											To make this happen, you may remember
getting an email ahead of time, from TED,
											asking you whether you would choose
to flip the coin or not,
											if you played the game.
											Well, actually, we asked you to choose
between a circle or a square.
											You didn't know it, but your choice
of circle meant ""flip the coin,""
											and your choice of square
was ""don't flip.""
											We received 372 responses.
											Thank you.
											That means we can play 372 games
against the quantum computer
											using your choices.
											And it's a pretty fast game to play,
											so I can show you the results right here.
									","
											Empresas de todo el mundo trabajan
para construir estos dispositivos.
											Y para ver de qué se trata todo esto,
											vamos a jugar este juego
en una computadora cuántica.
											Desde aquí puedo ingresar
a la computadora cuántica de IBM,
											o sea que puedo jugar de forma remota,
											y Uds. también.
											Para que esto funcione, recordarán
que recibieron un correo de TED
											preguntándoles si elegirían
lanzar la moneda o no,
											en caso de jugar el juego.
											En realidad les pedimos que eligieran
entre un círculo y un cuadrado.
											No lo sabían, pero el círculo
significaba ""lanzar la moneda""
											y el cuadrado era ""no lanzar"".
											Recibimos 372 respuestas.
											Gracias.
											Significa que podemos jugar 372 rondas
contra la computadora cuántica
											usando sus selecciones.
											Y es un juego bastante rápido,
											así que les mostraré los resultados.
									","
											Assim, há empresas em todo o mundo
a trabalhar para criar esses aparelhos.
											Para vermos porque é tão grande
esse entusiasmo,
											vamos jogar o nosso jogo
num computador quântico.
											Ora bem, posso entrar no computador
quântico da IBM daqui mesmo,
											ou seja, posso jogar o jogo à distância
											e vocês também podem.
											Lembram-se de ter recebido
um ""email"" do TED,
											perguntando se queriam optar
por virar a moeda ou não,
											no caso de jogarem o jogo.
											Na verdade, pedimos que escolhessem
entre um círculo e um quadrado.
											Vocês não sabiam, mas a escolha
de um círculo significava ""virar a moeda""
											e a escolha do quadrado
significava ""não virar"".
											Recebemos 372 respostas.
											Obrigada.
											Isso significa que podemos jogar 372 jogos
contra o computador quântico
											usando as vossas opções.
											É um jogo que se joga muito depressa,
											por isso posso mostrar já
os resultados.
									","
											Des entreprises du monde entier
cherchent à construire ces appareils
											et pour comprendre leur engouement,
											jouons à notre jeu
sur un ordinateur quantique.
											Je peux donc me connecter
à l'ordinateur quantique d'IBM d'ici,
											ce qui signifie que je peux jouer
au jeu à distance
											et par conséquent, vous aussi.
											Pour réaliser cela, vous vous souvenez
peut-être d'un courriel de TED
											qui vous demandait si vous choisiriez
de tirer à pile ou face, ou non,
											si vous jouiez au jeu.
											En réalité, nous vous avons demandé
de choisir entre un cercle et un carré.
											Vous ne le saviez pas, mais le cercle
signifiait « tirer à pile ou face »
											et le carré signifiait
« ne pas lancer le jeton ».
											Nous avons reçu 372 réponses.
											Merci.
											Cela signifie que nous pouvons jouer
372 parties contre l'ordinateur quantique
											en utilisant vos décisions.
											Et c'est un jeu plutôt rapide,
											donc voici les résultats.
									","
											Bu nedenle dünyanın her yerindeki
şirketler, bu cihazları üretmek
											ve ilgi çekici olan şeyin
ne olduğunu görmek için çalışıyor.
											oyunumuzu kuantum bilgisayarda oynayalım.
											Buradan IBM'in kuantum
bilgisayarına bağlanıyorum,
											yani oyunu uzaktan oynayabilirim
											ve siz de bunu yapabilirsiniz.
											Bunu yapmak için, TED'den önceden 
e-posta almayı unutmamalısınız,
											Eğer oyunu oynarsanız
											size parayı atmayı seçip
seçmediğinizi soracaktır.
											Aslında, sizin daire ile kare arasından
birini seçmenizi istedik.
											Bunu bilmiyordunuz, fakat daire 
seçiminiz ""parayı at""
											kare seçiminiz ise ""parayı atma""
anlamına gelmekteydi.
											372 cevap aldık.
											Teşekkür ederim.
											Bu, 372 defa kuantum bilgisayara
karşı sizin tercihlerinizi kullanarak
											oynayabiliriz anlamına gelmekte.
											Oldukça hızlı bir oyun,
											bu nedenle hemen buracıkta size 
sonuçları gösterebilirim.
									",A beginner's guide to quantum computing,Shohini Ghose,10:04,"TED Fellows,quantum physics,computers,science,future,technology,innovation,invention,encryption,physics,medicine,nature,exploration"
