en,es,title,speaker,duration,tags
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											Greg Gage: If I asked you
to think of a ferocious killer animal,
											you'd probably think of a lion,
											and for all the wonderful
predatory skills that a lion has,
											it still only has about a 20 percent
success rate at catching a meal.
											Now, one of the most successful hunters
											in the entire animal kingdom
is surprising:
											the dragonfly.
											Now, dragonflies are killer flies,
											and when they see a smaller fly,
											they have about a 97 percent
chance of catching it for a meal.
											And this is in mid-flight.
											But how can such
a small insect be so precise?
											In this episode, we're going to see
											how the dragonfly's brain is highly
specialized to be a deadly killer.
									","
											Greg Gage: Si te pidiera pensar
en un feroz asesino animal,
											a lo mejor pensarías en un león.
											Y a pesar de toda la habilidad
predadora que posee un león,
											solo tiene una taza de éxito de 20 %
											de atrapar su alimento.
											Uno de los cazadores más exitosos
en todo el reino animal te sorprenderá:
											la libélula.
											Las libélulas son moscas asesinas,
y cuando ven una mosca más pequeña,
											tienen una probabilidad del
97 % de atraparla para comer.
											Y esto es a medio vuelo.
											Pero ¿cómo puede ser tan preciso
un insecto tan pequeño?
											En este episodio, veremos que el cerebro
de la libélula está muy especializado,
											y eso la hace un asesino letal.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											[DIY Neuroscience]
									","
											[Neurociencia casera]
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											So what makes the dragonfly
one of the most successful predators
											in the animal kingdom?
											One, it's the eyes.
											It has near 360-degree vision.
											Two, the wings.
											With individual control of its wings,
											the dragonfly can move
precisely in any direction.
											But the real secret
to the dragonfly's success
											is how its brain coordinates
this complex information
											between the eyes and the wings
											and turns hunting into a simple reflex.
											To study this, Jaimie's been
spending a lot of time
											socializing with dragonflies.
											What do you need to do your experiments?
									","
											¿Qué hace de la libélula
uno de los depredadores más exitosos
											del reino animal?
											Uno: los ojos.
											Tiene la visión de casi 360 grados.
											Dos: las alas.
											Mediante el control
individual de sus alas,
											la libélula puede moverse con precisión
en cualquier dirección.
											Pero el verdadero secreto
del éxito de la libélula
											es cómo su cerebro coordina
esta información compleja
											entre los ojos y las alas
											y convierte la caza en un simple reflejo.
											Para estudiar esto, Jaimie
ha pasado mucho tiempo
											socializando con libélulas.
											¿Qué necesitas 
para hacer tus experimentos?
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											Jaimie Spahr: First of all,
you need dragonflies.
									","
											Jaimie Spahr: Primero, libélulas.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
											Oliver: I have a mesh cage
to catch the dragonflies.
									","
											Oliver: Uso una jaula de malla
para capturar las libélulas.
									",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
"
","
",How a dragonfly's brain is designed to kill,Greg Gage,5:17,"science,animals,insects,neuroscience"
