en,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											One of the kingdom’s
most prosperous merchants
											has been exposed for his corrupt dealings.
											Nearly all of his riches
											are invested in a collection
											of 30 exquisite Burmese rubies,
											and the crowd in the square
											is clamoring for their confiscation
											to reimburse his victims.
											But the scoundrel and his allies at court
											have made a convincing case
											that at least some of his wealth
											was obtained legitimately,
											and through good service to the crown.
									","
											L'un des marchands les plus prospères
du royaume
											a été attrapé pour ses pratiques véreuses.
											La quasi-totalité de sa fortune
											a été investie dans une collection
											de 30 rubis de Birmanie très raffinés,
											et la foule sur la place
											réclame leur confiscation
											pour rembourser les victimes.
											Mais la crapule et ses alliés à la cour
											ont bien plaidé leur cause en avançant
											qu'une partie de cette richesse
											avait été obtenue légalement,
											et par des services rendus à la couronne.
									","
											Um dos mercadores mais prósperos do reino
											foi denunciado 
pelos seus negócios corruptos.
											Quase toda a sua riqueza
											está investida numa coleção
											de 30 maravilhosos rubis birmaneses
											e a multidão na praça
											exige ruidosamente
que eles sejam confiscados
											para reembolsar as vítimas.
											Mas o patife e os seus aliados na corte
											construíram um caso convincente,
											de que, pelo menos, uma parte da riqueza
											tinha sido obtida legitimamente,
											através dos bons serviços
prestados à coroa.
									","
											Krallığın en zengin tüccarlarından biri
											kanunsuz işlerinden dolayı afişe olmuştu.
											Neredeyse bütün varlığı,
											30 muhteşem Birmanya yakutundan
oluşan koleksiyona yatırılmıştı
											ve meydandaki kalabalık,
											kurbanlarının zararını karşılamak üzere
											bunlara el koymaları için bağırıyorlardı.
											Ama bu hain ve taraftarları mahkemede
ikna edici bir savunma yaptıklarından
											ve krallığa iyi hizmetleri nedeniyle
											zenginliğinin sadece bir kısmına
yasal olarak el kondu.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											The king ponders for a minute
											and announces his judgment.
											Because there’s no way to know
											which portion of the rubies 
were bought with ill-gotten wealth,
											the fine will be determined through 
a game of wits between the merchant
											and the king’s most clever advisor – you.
									","
											Le roi réfléchit pendant un peu
											puis rend son jugement.
											Comme il n'est pas possible de savoir
											quelle proportion de rubis a été achetée
grâce à une fortune mal acquise,
											l'amende sera déterminée par
un jeu de logique entre le marchand
											et le conseiller le plus intelligent
du roi - vous.
									","
											O rei pondera por minutos
e anuncia a sua decisão.
											Como não há forma de saber
											que porção dos rubis
foram comprados com riqueza ilícita,
											a multa será determinada através 
de um frente-a-frente cerebral
											entre o mercador e o conselheiro
mais esperto do rei — tu.
									","
											Kral bir süre düşündükten sonra
											kararını açıklar.
											Yakutların ne kadarının
											haksız kazanç sonucu elde edildiğinin
bilinmesi mümkün olmadığından
											ceza, tüccarla kralın en zeki danışmanı
–sen– arasında yapılacak
											bir zekâ oyunu ile kararlaştırılacak.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											You’re both told the rules in advance.
											The merchant will be allowed to
discreetly divide his rubies
											among three boxes, which
will then be placed in front of you.
											You will be given three cards,
											and must write a number 
between 1 and 30 on each,
											before putting a card in
front of each of the boxes.
											The boxes will then all be opened.
											For each box, you will receive exactly
											as many rubies as the number written
on the corresponding card,
											if the box has that many.
											But if your number is greater than 
the number of rubies actually there,
											the scoundrel gets to keep the entire box.
									","
											Vous connaissez tous deux
les règles en avance.
											Le marchand devra, à l'abri des
regards indiscrets, diviser ses rubis
											entre trois coffres, qui seront ensuite
placés devant vous.
											Trois cartes vous seront données,
											et vous devrez écrire un nombre
entre 1 et 30 sur chacune,
											avant de placer une carte
devant chaque coffre.
											Les coffres seront ensuite ouverts.
											Pour chaque coffre,
vous recevrez exactement
											le nombre de rubis indiqué
sur la carte correspondante,
											si le coffre en contient autant.
											Mais si votre chiffre est plus grand
que le nombre de rubis dans le coffre,
											la crapule gardera
l'intégralité du coffre.
									","
											Dizem-vos as regras de antemão.
											O mercador poderá dividir
secretamente os seus rubis
											por três caixas, que serão
colocadas à tua frente.
											Recebes três cartas,
											e tens de escrever um número
entre 1 e 30, em cada uma delas,
											antes de pôr uma carta
em frente de cada caixa.
											Depois, as caixas serão abertas.
											Para cada caixa, só receberás
											a quantidade de rubis escrita
na carta correspondente,
											se a caixa tiver essa quantidade toda.
											Mas, se o número for maior
do que o número de rubis que lá estão,
											o patife recebe o conteúdo total da caixa.
									","
											Öncesinde kurallar açıklanır.
											Tüccarın yakutlarını üç kutuya gizleyerek
bölüştürmesine izin verilecek,
											sonra bunlar senin önüne getirilecek.
											Sana üç kart verilecek,
											her birinde 1'den 30'a bir sayı yazılmalı
											ve sonra her kutunun
önüne bir kart konacak.
											Ardından kutular açılacak.
											Her bir kutudan
											önündeki kartta yazan sayı
kadar yakut alınacak,
											tabi kutuda o kadar varsa.
											Eğer sayı kutuda bulunan
yakut adedinden fazla ise
											hain tüm kutuyu alacak.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											The king puts just two constraints on how
the scoundrel distributes his rubies.
											Each box must contain at least two rubies
											and one of the boxes must contain 
exactly six more rubies than another—
											but you won’t know which boxes those are.
									","
											Le roi impose deux contraintes
à l'escroc pour répartir ses rubis.
											Chaque coffre doit au moins
contenir deux rubis,
											et un des coffres doit contenir
six rubis de plus qu'un autre -
											mais vous ne savez pas
de quels coffres il s'agit.
									","
											O rei pôs dois obstáculos à forma
como o patife distribuirá os rubis.
											Cada caixa tem de conter,
pelo menos, dois rubis
											e uma das caixas tem que conter
mais seis rubis do que qualquer outra
											— mas não sabes qual delas é.
									","
											Hainin yakutları dağıtımı
hususunda kralın sadece iki kısıtı var.
											Her kutu en az iki yakut içerecek
											ve kutulardan biri diğerinden
tam olarak altı yakut fazla içermeli—
											tabii hangi kutular olduğunu 
bilmeyeceksin.
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
","
","
","
",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
"
											After a few minutes of deliberation,
											the merchant hides the gems, 
and the boxes are brought in front of you.
											Which numbers should you choose
											in order to guarantee the largest possible
fine for the scoundrel
											and the greatest compensation 
for his victims?
									","
											Après quelques minutes de délibération,
											le marchand cache ses rubis,
et les coffres sont placés devant vous.
											Quels nombres allez-vous choisir
											afin de garantir la plus grande amende
possible pour l'escroc
											et la plus grande compensation
pour les victimes ?
									","
											Ao fim de uns minutos de deliberação,
											o mercador esconde as gemas,
e as caixas são colocadas à tua frente.
											Que números deves escolher
											a fim de garantir a maior multa
possível para o vigarista
											e a maior compensação
para as suas vítimas?
									","
											Biraz düşündükten sonra tüccar
											yakutları saklar
ve kutular önüne getirilir.
											Hainin en fazla cezayı almasını
											ve kurbanlarının tazmininin
büyüklüğünü garantilemek için
											hangi sayıları yazmalısın?
									",Can you solve the stolen rubies riddle?,Dennis Shasha,4:19,"TED-Ed,math,history"
