es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
											Hace unos años,
											sentí como que estaba atrapado en la rutina,
											entonces decidí seguir los pasos
											del gran filósofo americano Morgan Spurlock
											e intentar hacer algo nuevo durante 30 días.
											La idea es bastante simple.
											Pensad en algo que siempre hayáis querido añadir a vuestras vidas
											e intentadlo durante los próximos 30 días.
											Resulta que
											30 días es la cantidad de tiempo justa
											para añadir un nuevo hábito o quitarlo,
											como ver las noticias,
											de tu vida
									","
											Há uns anos, senti 
que estava preso à rotina,
											por isso decidi seguir os passos
											de um grande filósofo americano,
Morgan Spurlock,
											e experimentar uma coisa nova
durante 30 dias.
											A ideia é bastante simples.
											Pensem numa coisa que sempre
desejaram acrescentar à vossa vida
											e experimentem-no
durante os próximos 30 dias.
											Verifica-se que 30 dias
											é exatamente a quantidade
de tempo necessária
											para se criar um novo hábito
ou perder um antigo
											— como ver as notícias —
											da nossa vida.
									","
											Bir kaç yıl önce,
											rutine bağlandığımı hissettim,
											bu yüzden Amerika'nın büyük filozofu olan Morgan Spurlock'un
											ayak izlerini takip etmeye ve 30 günlüğüne
											yeni bir şeyler denemeye karar verdim.
											Fikir aslında oldukça basit.
											Hayatına her zaman katmak istediğin bir şeyi düşün
											ve onu bir sonraki 30 günde dene.
											Ortaya çıkan,
											30 gün yeni bir alışkanlığı hayatınıza
											ekleyip, çıkarmak için
											yeterli bir zaman.
											haberleri izlemek gibi—
									","
											Il y a quelques années,
											j'avais l'impression 
d'être prisonnier de la routine,
											alors j'ai décidé de suivre les traces
											d'un grand philosophe américain, 
Morgan Spurlock,
											et d'essayer quelque chose 
de nouveau pendant 30 jours.
											L'idée est en fait assez simple.
											Pensez à quelque chose que vous 
avez toujours eu envie de faire
											et mettez-vous y
pendant les 30 jours qui suivent.
											Il semble que 30 jours 
soit juste le bon laps de temps
											pour installer une nouvelle habitude 
ou en supprimer une ancienne,
											comme regarder les informations.
									","
											Vor einigen Jahren
											fand ich mein Leben ziemlich eingefahren,
											also beschloss ich auf den Spuren
											des großen amerikanischen Philosophen, Morgan Spurlock,
											für 30 Tage etwas Neues auszuprobieren.
											Der Gedanke ist tatsächlich recht einfach.
											Denken Sie an etwas, was Ihrem Leben schon immer gefehlt hat,
											und probieren Sie es die nächsten 30 Tage aus.
											Es zeigt sich,
											dass 30 Tage gerade die richtige Zeitspanne ist,
											um eine neue Gewohnheit dazu zu nehmen, oder eine Gewohnheit –
											wie Nachrichten schauen –
											aus Ihrem Leben zu entfernen.
									",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
","
","
","
","
",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
											Unas cuantas cosas aprendí haciendo estos desafíos de 30 días.
											La primera fue que,
											en vez de pasar volando los meses, olvidados,
											el tiempo era mucho más recordable.
											Esto fue parte de un desafío que hice de tomar una foto todos los días durante un mes.
											Y recuerdo exactamente dónde estaba
											y qué estaba haciendo ese día.
											También noté
											que al empezar a hacer más desafíos de 30 días y más difíciles
											mi confianza en mí mismo aumentó.
											Pasé de ser un empollón que vive en el escritorio,
											a ser de la clase de persona que va en bicicleta al trabajo,
											por diversión.
											Incluso el año pasado, subí el monte Kilimanjaro,
											la montaña más alta de África.
											Nunca había sido tan aventurero
											hasta que comencé mis desafíos de 30 días.
									","
											Aprendi coisas no decorrer
deste desafio de 30 dias.
											A primeira foi que,
											em vez de os meses voarem,
sem história,
											o tempo passou a ser
muito mais inesquecível.
											Isto fez parte do desafio de
tirar uma fotografia todos os dias.
											Lembro-me exatamente onde estive
e o que fiz naquele dia.
											Também reparei que,
											à medida que comecei a dedicar-me
mais ao desafio de 30 dias,
											a minha autoconfiança aumentou.
											Deixei de estar agarrado
ao meu computador,
											e passei a ir de bicicleta
para o trabalho,
											só por diversão!
											(Risos)
											Ainda no ano passado,
acabei por subir o Monte Kilimanjaro,
											a montanha mais alta de Africa.
											Nunca teria tido aquela aventura
											antes de ter começado
o meu desafio de 30 dias.
									","
											30 gün süresindeki bu zorluklardan öğrendiğim birkaç şey var.
											İlki, unutulan uçup giden
											ayların aksine,
											zaman oldukça unutulmazdı.
											Bir ay boyunca her gün bir adet fotoğraf çekmek bu mücadelenin bir parçasıydı.
											O gün ne yaptığımı ve
											ve nerede olduğumu tam olarak hatırlıyorum.
											Farkettim ki,
											30 günlük daha zor mücadele ve daha çok şey yaparken,
											kendime güvenim arttı.
											Bilgisayarda bütün gün pinekleyen bir kişiden
											eğlence için
											işe bisikletle giden bir olmuştum.
											Geçen sene bile,Afrika'nın en yüksek dağı olan
											Klimanjaro dağlarında yürüyüş yaparken buldum.
											30 günlük serüvenime başlamadan önce
											fazla maceraperest değildim.
									","
											J'ai appris des choses en relevant 
ce défi des 30 jours.
											La première,
											c'est que plutôt de laisser
les mois filer, et de les oublier,
											mes journées sont devenues
bien plus mémorables.
											Ça, c'était un défi de prendre
une photo tous les jours pendant un mois.
											Je me rappelle exactement où j'étais
											et ce que je faisais ce jour-là.
											J'ai aussi remarqué
											qu'en relevant des défis de 30 jours
plus nombreux et plus difficiles,
											j'avais de plus en plus confiance en moi.
											Je suis passé du mordu d'informatique
collé à son bureau
											au gars qui va au travail à vélo -
											juste pour le plaisir !
											L'an dernier, j'ai même entrepris
l'ascension du Kilimandjaro,
											le mont le plus haut d'Afrique.
											Je n'aurais jamais été si aventurier
											avant de commencer mes défis de 30 jours.
									","
											Einige Dinge habe ich während dieser 30-Tage-Herausforderungen gelernt.
											Erstens,
											anstelle von Monaten die vorbei fliegen und vergessen werden,
											war die Zeit sehr viel einprägsamer.
											Dies war Teil einer Herausforderung bei der ich einen Monat lang täglich ein Foto machte.
											Und ich erinnere mich genau wo ich
											an diesem Tag war, und was ich gemacht habe.
											Mir fiel auch auf,
											dass mit anspruchsvolleren 30-Tage-Programmen
											mein Selbstvertrauen wuchs.
											Ich verwandelte mich vom sesselfurzenden Computerfreak
											in die Art Typ, die zur Arbeit radelt –
											aus Spaß.
											Gerade letztes Jahr wanderte ich den Kilimanjaro hoch,
											den höchsten Berg in Afrika.
											So abenteuerlustig war ich nie,
											ehe ich meine 30-Tage-Programme begonnen hatte.
									",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
","
","
","
","
",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
											También descubrí
											que si uno quiere realmente algo lo suficiente,
											puede hacer cualquier cosa durante 30 días.
											¿Habéis querido escribir una novela alguna vez?
											Cada noviembre,
											decenas de miles de personas,
											intentan escribir su propia novela de 50.000 palabras, de cero,
											en 30 días.
											Resulta que todo lo que tienes que hacer
											es escribir 1667 palabras al día
											durante un mes.
											Así que lo hice.
											Dicho sea de paso, el secreto es no irse a dormir
											hasta que no hayas escrito tus palabras diarias.
											Puede que duermas menos,
											pero terminarás tu novela.
											Ahora, ¿es mi libro la próxima gran novela americana?
											No. Lo escribí en un mes.
											Es malísimo.
											Pero durante lo que me queda de vida,
											si me cruzo con John Hodgman en un fiesta de TED,
											no tengo que decir,
											""Soy informático"".
											No, no, si quiero, puedo decir: ""Soy novelista"".
									","
											Também percebi que,
											se quisermos muito qualquer coisa,
											podemos fazer qualquer coisa
durante os 30 dias.
											Já quiseram escrever um romance?
											Todos os meses de novembro,
											dezenas de milhares de pessoas
tentam escrever, em 50 000 palavras,
											o seu romance a partir do zero,
											em 30 dias.
											Só têm que escrever 1667 palavras por dia
											durante um mês.
											Por isso eu fiz.
											A propósito, o segredo é não irmos dormir
											enquanto não tivermos escrito
as palavras do dia.
											Podemos ficar privados de sono,
											mas terminamos o nosso romance.
											Será o meu livro o próximo
grande romance da América?
											Não! Eu redigi-o num mês.
											É horrível!
											Mas durante o resto da minha vida,
											se conhecer Jonh Hodgman
numa festa TED,
											não tenho de dizer:
											""Sou um cientista de computadores"".
											Não, não, se quiser posso dizer: 
""Sou um romancista.""
									","
											Ayrıca farkettim ki
											Bir şeyi gerçek ten isterseniz,
											30 gün süresince yapabilirsiniz.
											Hiç bir roman yazmak istediniz mi?
											Her kasım
											onbinlerce insan
											30 gün içinde kendi 50,000 kelimelik romanının
											başlangıç kısmını yazıyor.
											Dönüp dolaşıp, yapacağınız
											günde 1,667 kelimeyi
											bir ay boyunca yazmak.
											Ben yaptım.
											Bununla beraber, sır gün içinde kelimelerinizi
											yazmadan uykuya gitmemek.
											Uykudan yoksun olabilirsiniz,
											fakat romanı bitireceksiniz.
											Şimdi benim kitabım Amerika'nın bir sonraki romanı mı?
											Hayır, onu bir ayda yazdım.
											Berbat.
											Fakat geri kalan hayatım boyunca,
											TED partisinde John Hodgman ile tanışırsam,
											""Bilgisayar bilimcisiyim"" dememe
											gerek yok.
											Hayır, hayır, eğer istersem ""Bir roman yazarı"" olduğumu"" söyleyebilirim.
									","
											J'ai aussi découvert que si vous voulez
quelque chose à tout prix,
											vous pouvez tout faire 
pendant 30 jours.
											Avez-vous déjà eu envie
d'écrire un roman ?
											Chaque année au mois de novembre,
des dizaines de milliers de personnes
											essaient d'écrire leur propre roman 
de 50 000 mots en partant de zéro
											en 30 jours.
											En fait, tout ce que vous avez à faire,
											c'est d'écrire 1 667 mots par jour
											pendant un mois.
											C'est ce que j'ai fait.
											Au fait, le secret c'est 
de ne pas aller se coucher
											avant d'avoir écrit 
vos mots de la journée.
											Vous manquerez peut-être de sommeil
											mais vous terminerez votre roman.
											Est-ce que mon livre 
est le prochain grand roman américain?
											Non. Je l'ai écrit en un mois.
											Il est horrible.
											Mais pour le restant de mes jours,
											si je rencontre John Hodgman
à une soirée TED,
											je n'aurais pas à lui dire :
											""je suis informaticien"".
											Non non, si je veux, 
je peux lui dire : ""je suis romancier"".
									","
											Mir wurde auch klar,
											dass wenn man etwas nur wirklich will, also wirklich wirklich,
											dann kann man alles 30 Tage lang machen.
											Wollten Sie jemals einen Roman schreiben?
											Jeden November,
											versuchen zehntausende Leute
											innerhalb von 30 Tagen aus dem Nichts heraus ihren ersten
											50.000-Wörter-Roman zu schreiben,
											Es zeigt sich, dass man nichts weiter tun muss,
											als pro Tag 1.667 Wörter zu schreiben,
											einen Monat lang.
											Das hab ich gemacht.
											Nebenbei bemerkt, das Geheimnis ist, nicht zu Bett zu gehen,
											ehe man seine Wörter für diesen Tag zusammen hat.
											Man mag auf Schlafentzug sein,
											aber man bekommt seinen Roman fertig.
											Ist mein Buch nun der nächste große amerikanische Roman?
											Nein. Ich hab ihn in einem Monat geschrieben.
											Er ist fürchterlich.
											Aber für den Rest meiner Tage,
											muss ich nicht sagen
											„Ich bin Informatiker"",
											wenn ich John Hodgman bei einer TED-Party treffe,
											nein, nein, wenn ich will, kann ich sagen ""Ich bin Romanautor"".
									",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
","
","
","
","
",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
","
","
","
","
",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
"
											Esta es la última cosa que quiero mencionar.
											Aprendí que cuando hago cambios pequeños, sostenibles,
											las cosas que podía seguir haciendo,
											tenían más probabilidades de que se afianzaran.
											No hay nada malo en los desafíos grandes y locos.
											De hecho, son súper divertidos.
											Pero es menos probable que se afiancen.
											Cuando dejé el azúcar durante 30 días,
											el día 31 fue así.
									","
											Agora gostaria de mencionar
uma última coisa.
											Aprendi que, quando fiz 
pequenas alterações sustentáveis
											coisas que podia continuar a fazer,
											era mais provável que elas permanecessem.
											Não há nada de errado
em desafios grandes e loucos.
											De facto, são extremamente divertidos.
											Mas têm menos hipóteses de permanecer.
											Quando desisti de açúcar
durante os 30 dias,
											o 31.º dia parecia assim.
									","
											Bahsetmek istediğim son bir şey var.
											yapmayı sürdürebileceğim küçük, sürekli değişiklikler
											yaptığım zaman öğrendim ki,
											daha fazla yapışıyor.
											Büyük çılgın zorluklarla bir sorun yok.
											Aslında, çok eğlenceliler.
											Fakat daha az alışkanlık yapıyor.
											30 gün süresince şekeri bıraktığımda,
											31. gün böyleydi.
									","
											Je voudrais dire 
une dernière chose.
											J'ai appris que quand je faisais 
des petits changements durables,
											des choses que
je pourrais continuer à faire,
											il y avait plus de chance 
qu'elles persistent.
											Il n'y a rien de mal à se lancer
des défis de taille, des défis fous.
											En fait, ils sont très amusants,
											mais il y a moins de chance qu'ils durent.
											Quand j'ai arrêté le sucre 
pendant 30 jours,
											le 31ème jour ressemblait à ça.
									","
											Noch eine letzte Sache, die ich gern erwähnen möchte.
											Ich begriff, dass wenn ich kleine, nachhaltige Veränderungen machte,
											Dinge die ich beibehalten konnte,
											blieben sie mit höherer Wahrscheinlichkeit haften.
											Es ist nichts falsch an großen, verrückten Herausforderungen.
											Tatsächlich sind sie ein riesiger Spaß.
											Aber es ist weniger wahrscheinlich, dass sie bleiben.
											Als ich Zucker für 30 Tage aufgab,
											sah Tag 31 so aus.
									",Try something new for 30 days,Matt Cutts,3:27,"culture,success"
