en,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											One of the top chefs from Pasta Palace
											has been kidnapped by operatives 
from Burger Bazaar
											hoping to learn the location of their 
secret sauce recipe.
											Little do they know that a third party—
											Sausage Saloon—
											has sent you to take advantage 
of the situation.
											As their top spy, your skills range from 
infiltration and subterfuge,
											to safecracking and reading faces 
for signs of deception.
									","
											Pasta Palace'ın baş şeflerinden biri
											Burger Bazaar'ın ajanları
tarafından kaçırıldı,
											gizli sos tariflerinin yerini 
öğrenmeyi umuyorlardı.
											Ancak üçüncü bir tarafın—
											Sausage Saloon'un—
											fırsattan istifade etmek için 
seni gönderdiklerinden haberleri yoktu.
											Baş ajanları olarak yeteneklerin
gizlice sızma ve dolap çevirmekten
											kasa soymaya ve aldatma 
belirtileri bulmak için
											yüz okumaya kadar değişiklik gösteriyordu.
									","
											L'un des plus grands chefs du Pasta Palace
											a été kidnappé par des membres
du Burger Bazaar :
											ils espèrent découvrir où est cachée
la recette de sa sauce secrète.
											Mais ils sont loin de se douter
qu'une tierce partie -
											le Sausage Saloon -
											vous a envoyé pour tirer parti
de la situation.
											Vous êtes leur meilleur espion, avec
vos capacités d'infiltration et de ruse,
											à crocheter les coffres et à décrypter
les visages pour y déceler les mensonges.
									","
											Um dos principais ""chefs"" do Pasta Palace
											foi raptado por operacionais
do Burger Bazaar,
											na esperança de saberem o local
da sua receita de molho secreta.
											Mal sabem que um terceiro grupo
											— o Sausage Saloon —
											te enviou, para aproveitar a situação.
											Como o melhor espião, as tuas competências
vão da infiltração e do subterfúgio,
											ao arrombamento e à leitura facial,
procurando sinais de engano.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											You’ve tracked the captors to where 
they’re holding the chef prisoner.
											From your hiding spot, you can see him 
on the other side of the glass,
											while in front of you an interrogator 
wearing headphones
											speaks into a microphone.
									","
											Esir alanların şef esiri
tuttukları yere kadar takip ettin.
											Saklandığın alandan camın 
diğer tarafında onu görebiliyordun,
											önünde ise bir mikrofona konuşan
kulaklık takan bir sorgulayıcı duruyordu.
									","
											Vous avez suivi les ravisseurs jusqu'au
lieu où le chef est retenu prisonnier.
											Depuis votre cachette, vous pouvez le voir
de l'autre côté de la vitre,
											tandis qu'en face de vous un interrogateur
portant des écouteurs
											parle dans un micro.
									","
											Descobriste onde os raptores
mantêm o ""chef"" prisioneiro.
											Do teu esconderijo, podes vê-lo
do outro lado do vidro,
											enquanto, à tua frente,
um interrogador a usar auscultadores,
											fala por um microfone.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											“We already know the recipe is on the 
13th floor of the bank vault,
											in a safe deposit box numbered between 
13 and 1300.
											Now tell us… Is the number less than 500?”
									","
											""Tarifin banka kasasının 13. katında,
											13 ile 1300 arasında numaralandırılmış 
bir çelik kasada olduğunu zaten biliyoruz.
											Şimdi söyle bize... 
Sayı 500'den daha mı küçük?""
									","
											« Nous savons que la recette est au 13e
étage de la chambre forte de la banque,
											dans un coffre-fort dont le numéro
est compris entre 13 et 1 300.
											Maintenant, dis-moi... le numéro
est-il plus petit que 500 ? »
									","
											""Já sabemos que a receita está
no 13.º andar do cofre do banco,
											""numa caixa de depósito seguro
numerada entre 13 e 1300.
											""Agora diga-nos...
o número é menor que 500?""
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											You can’t hear the chef’s answer, 
but you can see that he’s lying.
											The interrogator, however, falls for it.
											He follows up by asking, 
“Is it a perfect square?”
											Again you can’t hear the answer 
but can tell the chef is lying,
											while the interrogator takes 
him at his word.
											He then asks, “Is it a perfect cube?”
											This time the chef answers truthfully.
									","
											Şefin cevabını duyamıyordun
ancak yalan söylediğini görebiliyordun.
											Sorgulayıcı ise her nasılsa kanıyor.
											Şöyle sorarak devam ediyor:
""Tam kare mi?""
											Yine cevabı duyamıyorsun ancak şefin
yalan söylediğini anlayabiliyorsun,
											sorgulayıcı ise inanıyor.
											Daha sonra ""Tam küp mü?"" diye soruyor.
											Bu sefer şef dürüstçe cevaplıyor.
									","
											Vous n'entendez pas la réponse du chef
mais vous pouvez voir qu'il ment.
											Cependant l'interrogateur tombe
dans le panneau.
											Il continue avec cette question :
« Est-il un carré parfait ? »
											Vous n'entendez toujours pas la réponse
mais vous savez que le chef ment,
											tandis que l'interrogateur
le croit sur parole.
											Il lui demande alors :
« Est-ce un cube parfait ? »
											Cette fois, le chef donne
une réponse honnête.
									","
											Não consegues ouvir a resposta do ""chef"",
mas percebes que ele está a mentir.
											Mas o interrogador não percebe.
											Continua a perguntar:
""É um quadrado perfeito?""
											Mais uma vez não ouves a resposta
mas percebes que o ""chef"" está a mentir,
											enquanto o interrogador
acredita no que ele diz.
											Depois pergunta: ""É um cubo perfeito?""
											Desta vez, o ""chef"" responde a verdade.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											The interrogator thinks 
for a minute and says,
											“Good. Now if you just tell me whether 
or not the number’s second digit is a one,
											we’ll be done here.”
											But as the chef starts to answer,
											the interrogator stands up, 
blocking your view.
											Within moments he rushes out of the room,
											announcing that he’s got the answer and 
is sending agents to retrieve the recipe.
									","
											Sorgulayıcı bir saniyeliğine 
düşünüyor ve şöyle soruyor:
											""Güzel. Şimdi eğer bana sayının ikinci 
hanesinin 1 olup olmadığını söylersen
											burada işimiz biter.""
											Ancak şef tam cevap verecektir ki
											sorgulayıcı ayağa kalkıyor 
ve görüş alanını kapatıyor.
											Saniyeler içinde odadan fırlayıp çıkıyor,
											cevabı aldığını ve tarifi almaları için
ajanları yolladığını duyuruyor.
									","
											L'interrogateur réfléchit pendant
une minute puis dit :
											« Bien. Maintenant dis-moi
si le second chiffre est un 1 ou non
											et on en aura terminé. »
											Mais alors que le chef commence
à répondre,
											l'interrogateur se lève,
vous bloquant la vue.
											Puis il se rue hors de la pièce,
											criant qu'il a la réponse et qu'il
envoie des agents récupérer la recette.
									","
											O interrogador pensa
um instante e diz:
											""Bom. Agora, se me disser
se o segundo dígito do número é um ou não,
											""acabamos aqui"".
											Mas, quando o ""chef"" começa a responder,
											o interrogador levanta-se,
bloqueando a tua vista.
											Instantes depois, sai a correr da sala,
											anunciando que já tem a resposta
											e vai enviar agentes
para recuperar a receita.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											You know that the Burger Bazaar people 
have the wrong box number.
											But can you figure out the right one 
and retrieve the recipe yourself?
									","
											Burger Bazaar'ın yanlış kutu numarasını
aldıklarını biliyorsun.
											Ama doğrusunu sen bulabilir
ve tarifi kendin alabilir misin?
									","
											Vous savez que le Burger Bazaar
a le mauvais numéro de coffre.
											Pouvez-vous découvrir le bon numéro
et récupérer vous-même la recette ?
									","
											Tu sabes que a gente do Burger Bazaar
tem o número errado da caixa
											mas consegues descobrir o número certo
e recuperar a receita?
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											Pause the video to figure it 
out for yourself.
									","
											Cevapı kendiniz bulmak için 
videoyu durdurun.
									","
											Arrêtez la vidéo pour trouver la solution.
									","
											[Suspende aqui o vídeo se quiseres
descobrir sozinho.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											Answer in 3
									","
											Cevap için: 3
									","
											Réponse dans 3
									","
											[Resposta em 3
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											Answer in 2
									","
											Cevap için: 2
									","
											Réponse dans 2
									","
											[Resposta em 2
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											Answer in 1
									","
											Cevap için: 1
									","
											Réponse dans 1
									","
											[Resposta em 1]
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
","
","
","
",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
"
											The key here is to work backwards.
											We don’t know what the chef answers 
to the final question
											or whether he answers truthfully.
											But we do know that by the time 
the interrogator asks it,
											he’s narrowed the options 
down to two numbers–
											one where the second digit is 1, 
and one where it isn’t.
									","
											Buradaki kilit nokta sondan başlamak.
											Şefin son soruya ne cevap verdiğini
											ya da dürüstçe cevap 
verip vermediğini bilmiyoruz.
											Ancak sorgulayıcı sorasıya kadar
											seçenekleri iki sayıya 
daralttığını biliyoruz–
											biri, ikinci hanenin 1 olduğu
ve diğeri, ikinci hanenin 1 olmadığı.
									","
											La clé est de réfléchir à l'envers.
											Nous ne connaissons pas la réponse
du chef à la dernière question
											ou s'il a répondu de façon honnête.
											Mais nous savons que lorsque
l'interrogateur a posé cette question,
											il a réduit les possibilités
à deux nombres -
											l'une où le second chiffre est un 1,
et l'autre où il ne l'est pas.
									","
											O segredo aqui é trabalhar ao contrário.
											Não sabemos o que o ""chef""
respondeu à pergunta final,
											ou se respondeu a verdade.
											Mas sabemos que, quando 
o interrogador faz a pergunta,
											reduz as opções a dois números
											— uma em que o segundo dígito é 1,
e outra em que não é.
									",Can you solve the secret sauce riddle?,Alex Gendler,4:22,"TED-Ed,animation,math,food"
