pt,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											A minha grande ideia
											é uma ideia muito, muito pequena
											que pode desbloquear
milhões de grandes ideias
											que neste momento
estão adormecidas dentro de nós.
											A minha pequena ideia que fará isso
											é dormir.
									","
											Mi gran idea
											es una idea muy, muy pequeña,
											que puede liberar
											millones de grandes ideas
											que hoy están latentes dentro de nosotros.
											La pequeña idea que lo hará posible
											es el sueño.
									","
											Benim büyük fikrim
											çok çok küçük bir fikir.
											Bu fikir
											şu an içimizde atıl duran
											milyarlarca fikri canlandırabilir.
											Bunu yapacak küçük fikrim ise
											uyku.
									","
											Ma grande idée
											est une idée très, très, petite
											qui peut déverrouiller
											des milliards de grandes idées
											qui sommeillent en nous pour le moment.
											Et ma petite idée qui permettra cela
											est le sommeil.
									","
											Meine große Idee
											ist eine sehr, sehr kleine Idee,
											die aber Milliarden von großen Ideen
											initiieren kann, die augenblicklich
											noch in uns schlummern.
											Und meine kleine Idee, die das bewirkt,
											ist Schlaf.
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Applaus)
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											Esta é uma sala de mulheres de topo.
											Esta é uma sala
de mulheres privadas de sono.
											E eu aprendi da maneira mais difícil
											a importância de dormir.
											Há dois anos e meio,
eu desmaiei de exaustão.
											Bati com a cabeça na secretária,
parti o osso malar,
											e levei cinco ponto no olho direito.
											E comecei a jornada
											da redescoberta da importância de dormir.
											Durante essa jornada,
											eu estudei, reuni-me
com médicos, cientistas,
											e estou aqui para vos dizer
											que a forma de ter uma vida mais produtiva
											mais inspirada e mais alegre
											é dormir o suficiente.
									","
											Esta es una sala de mujeres de clase A.
											Esta es una sala
											de mujeres con déficit de sueño.
											Y aprendí en carne propia
											el valor del sueño.
											Hace dos años y medio
											me desmayé de cansancio.
											Di con la cabeza en el escritorio y me fracturé el mentón.
											Tengo cinco puntos de sutura en el ojo derecho.
											Así empecé el viaje para
											redescubrir el valor del sueño.
											Y durante ese viaje
											estudié,
											visité médicos, científicos,
											y estoy aquí para contarles
											que el camino hacia una vida
											más productiva, inspirada y alegre
											es dormir bien.
									","
											Bu A tipi kadınların olduğu bir salon.
											Bu oda
											uyku bozukluğu çeken kadınların salonu.
											Ben
											uykunun değerini zor bir yolla anladım.
											İki buçuk yıl önce,
											yorgunluktan bayıldım.
											Kafamı masaya çarptım, çene kemiğimi kırdım,
											sağ gözüme beş dikiş atıldı.
											Ve uykunun değerini tekrar keşfetme
											yolculuğuna çıktım.
											Bu yolculuk süresince,
											araştırdım,
											tıp doktorları, bilim adamları ile görüştüm,
											ve buraya çıkma sebebim
											daha verimli
											daha ilhamlı, daha zevkli bir hayat yaşamaya giden yolun
											yeteri kadar uyumaktan geçtiğini anlatmak.
									","
											C'est une salle de femmes très actives.
											C'est une salle
											de femmes privées de sommeil.
											Et j'ai appris durement,
											la valeur du sommeil.
											Il y a deux ans et demi,
											je me suis évanouie d'épuisement.
											J'ai cogné ma tête contre le bureau, je me suis cassé la pommette,
											j'ai eu cinq points de suture à mon œil droit.
											Et j'ai commencé mon voyage
											vers la redécouverte de la valeur du sommeil.
											Au cours de celui-ci,
											j'ai étudié,
											j'ai rencontré des médecins, des scientifiques,
											et je suis ici pour vous dire
											que le chemin vers une vie plus productive,
											plus enthousiaste, plus joyeuse
											passe par un sommeil suffisant.
									","
											In diesem Saal befinden sich lauter Elite-Frauen.
											In diesem Saal befinden sich
											lauter Frauen, die zu wenig Schlaf bekommen.
											Ich selbst habe durch bittere Erfahrung gelernt,
											was Schlaf wert ist.
											Vor zweieinhalb Jahren
											fiel ich vor Erschöpfung in Ohnmacht.
											Ich schlug mit dem Kopf auf den Schreibtisch und brach mir das Jochbein.
											Ich wurde am rechten Auge fünffach genäht.
											So machte ich mich auf,
											den Wert des Schlafes wiederzuentdecken.
											Im Verlauf dieser Reise
											habe ich studiert,
											habe Mediziner und Wissenschaftler getroffen,
											und bin heute hier, um Ihnen zu sagen,
											dass der Weg zu einem reicheren,
											kreativeren und freudvolleren Leben darin besteht,
											sich genügend Schlaf zu verschaffen.
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
","
","
","
","
",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
"
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Applaus)
									",How to succeed? Get more sleep,Arianna Huffington,4:10,"business,culture,entertainment,productivity,sleep"
