en,fr,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											(Music)
									","
											(Musique)
									","
											(Música)
									","
											(Müzik)
									","
											(Musik)
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											Sun shining up above
											down here it's 10 below
									","
											Le soleil brille là-haut
											Ici-bas, il fait si froid
									","
											♪ O sol brilha lá no alto,
											♪ aqui em baixo estão 10 graus.
									","
											Güneş yukarıda parlıyor
											burası 10 derecenin altında
									","
											Die Sonne scheint da oben.
											Hierunter ist es minus 10 Grad.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											I'm moving on to a place now
											where the streets are paved with gold
									","
											Je m'en vais pour un endroit
											Où les rues sont pavées d'or
									","
											♪ Agora estou a avançar
para um sítio
											♪ onde as ruas estão
pavimentadas a ouro
									","
											Şimdi caddelerin altınla kaplandığı
											bir yere gidiyorum
									","
											Ich gehe jetzt weiter zu einem Ort,
											wo die Strassen mit Gold gepflastert sind.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											There'll be two trains running —
											running side by side
									","
											Deux trains roulent
											Côte à côte
									","
											♪ Haverá dois comboios a andar
											♪ a andar lado a lado.
									","
											Orada iki tarafta da ilerleyen
											iki tane tren olacak...
									","
											Es wird zwei fahrende Züge geben,
											die nebeneinander fahren.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											Some trains are going out
									","
											Mais certains quittent la gare
									","
											— há comboios a partir —
									","
											Bazı trenler yoldan çıkacak
									","
											Einige Züge fahren fort.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											Two trains running —
											running side by side
									","
											Deux trains roulent
											Côte à côte
									","
											♪ Dois comboios a andar
											♪ a andar lado a lado
									","
											İki tarafta da ilerleyen—
											ilerleyen iki tren...
									","
											Zwei fahrende Züge,
											die nebeneinander fahren.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											I'm going to catch that fast express train
											to my reward in the sky
									","
											Je vais prendre l'express direct
											à destination de mon oscar là-haut
									","
											♪ Vou apanhar aquele
comboio expresso rápido
											♪ até à minha recompensa
que está no céu.
									","
											Gökyüzündeki ödülüme giden
											o hızlı ekspres treni yakalayacağım
									","
											Ich werde diesen Schnellzug erreichen,
											der mich zu meiner Belohnung
im Himmel bringt.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											Many rooms in my father's house now —
											Oh Lord there's one for you and me
									","
											Il y a tant de chambres
dans la maison de mon père
											Mon Dieu, il y en a une pour toi et moi
									","
											♪ Há muitos quartos
na casa do meu Pai
											♪ Oh Senhor, há um para ti e para mim.
									","
											Şimdi babamın evindeki birçok oda...
											Tanrım orada senin ve benim için
bir tane (oda) var
									","
											Das Haus meines Vaters hat viele Zimmer.
											O Herr, es gibt eins für Dich und mich.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											Many rooms in my father's house now —
											Oh there's one for you and me
									","
											Il y a tant de chambres
dans la maison de mon père
											il y en a une pour toi et moi
									","
											♪ Há muitos quartos
na casa do meu Pai
											♪ Há um para ti e para mim.
									","
											Şimdi babamın evindeki birçok oda —
											Oh, orada senin ve benim için
bir tane (oda) var
									","
											In meines Vaters Haus sind viele Zimmer —
											O, es gibt eins für Dich und mich.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											No blues and no trouble
											Oh my Lord sweet Jesus victory
									","
											Pas de blues, pas de soucis
											Oh mon Seigneur, doux Jésus victorieux
									","
											♪ Sem ""blues"" e sem problemas
											♪ Oh meu Senhor,
doce vitória de Jesus
									","
											Hüzün yok ve bela yok
											Oh Tanrım, yüce İsa'nın zaferi
									","
											Keine Melancholie und 
keine Schwierigkeiten
											O meines Herrn liebreichsten Jesus Sieg
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											There's one glory from the moon —
											Lord another, oh another from the sun
									","
											De la Lune émane une gloire
											Seigneur, une autre émane du Soleil
									","
											♪ Há uma glória
que nos chega da lua
											♪ Outra Senhor, outra
que nos chega do sol
									","
											Ay'da bir parlama var
											Tanrım başka, oh güneşten bir başka
parlama
									","
											Der Mond hat einen Glanz —
											Herr, einen anderen hat die Sonne
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											Oh one glory from the moon
											and another from the sun
									","
											Oh, de la Lune émane une gloire
											et une autre émane du Soleil
									","
											♪ Oh uma glória da lua
											♪ e outra do sol.
									","
											Oh, Ay'dan bir parlama
											ve Güneş'ten bir başka parlama
									","
											O einen Glanz hat der Mond
											und eine andere hat die Sonne.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
											Behind I'll leave this earthly body
											when my Lord king Jesus comes
									","
											J'abandonnerai mon enveloppe charnelle
											quand mon Seigneur et roi viendra
									","
											♪ Para trás, deixarei
este corpo terrestre
											♪ quando o meu Senhor Jesus chegar.
									","
											Tanrım ve yüce İsa geldiğinde
											bu dünyevi vücudu geride bırakacağım
									","
											Ich werde diesen irdischen
Körper verlassen,
											wenn mein Herr Jesus Christus
kommen wird.
									","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
"
","
","
","
","
","""My Fine Reward""",Tito Deler,2:53,"music,live music,performance,vocals,guitar,entertainment"
