en,es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
											So I'm here to explain
											why I'm wearing these ninja pajamas.
											And to do that, I'd like to talk first
											about environmental toxins in our bodies.
											So some of you may know
											about the chemical Bisphenol A, BPA.
											It's a material hardener and synthetic estrogen
											that's found in the lining of canned foods
											and some plastics.
											So BPA mimics the body's own hormones
											and causes neurological and reproductive problems.
											And it's everywhere.
											A recent study found BPA
											in 93 percent of people six and older.
											But it's just one chemical.
											The Center for Disease Control in the U.S.
											says we have 219 toxic pollutants in our bodies,
											and this includes preservatives, pesticides
											and heavy metals like lead and mercury.
									","
											Estoy aquí para explicar
											por qué estoy usando este pijama de ninja.
											Pero me gustaría hablar primero
											de las toxinas ambientales de nuestros cuerpos.
											Algunos deben conocer
											el químico Bisfenol A, BPA.
											Es un endurecedor de materiales y estrógeno sintético
											que se encuentra en las etiquetas de los alimentos enlatados
											y en algunos plásticos.
											El BPA imita las propias hormonas del cuerpo
											y provoca problemas neurológicos y reproductivos.
											Está en todos lados.
											Un estudio reciente encontró BPA
											en el 93% de los mayores de 6 años.
											Pero es sólo un químico.
											El Centro para el Control de Enfermedades de Estados Unidos
											dice que tenemos 219 contaminantes tóxicos en el cuerpo,
											y esto incluye conservantes, pesticidas
											y metales pesados como plomo y mercurio.
									","
											Estou aqui para explicar
											porque é que estou a vestir
este pijama ninja.
											Para fazer isso, primeiro quero falar
											sobre as toxinas ambientais
no nosso corpo.
											Alguns de vós talvez conheçam
											o químico Bisfenol A, o BPA.
											É um endurecedor e um estrogénio sintético
											que se encontra no revestimento
da comida enlatada
											e em alguns plásticos.
											O BPA imita as hormonas do corpo
											e causa problemas neurológicos
e reprodutivos.
											Está por todo o lado.
											Um estudo recente encontrou BPA
											em 93% das pessoas
com seis anos e mais velhas.
											Mas é apenas um químico.
											O Centro para Controlo de Doenças nos EUA
											diz que temos 219 poluentes tóxicos
no nosso corpo,
											e isto inclui conservantes, pesticidas
											e metais pesados como chumbo e mercúrio.
									","
											İşte buradayım, size niçin
											bu ninja pijamalarını giydiğimi açıklayacağım.
											Bunu yapmak için de, öncelikle size
											vücudumuzdaki çevreyi kirleten zehirlerden bahsedeceğim.
											Bazılarınızın Bispenol A, BPA
											hakkın bilgi sahibi olabilirsiniz.
											Bu, konserve yiyeceklerin iç kaplamasında bulunan
											sıkılaştırıcı ve sentetik bir madde olan östrojendir.
											bazı plastiklerde de bulunudr.
											Böylece BPA vücudun kendi hormonlarını taklit eder
											ve nörolojik ve çoğalan problemlere sebep olur.
											Ve heryerdedir.
											Son araştırmada BPA
											6 yaş ve üstü kişilerin %93 ünde bulunmuştur.
											Ve bu sadece kimyasalların birisidir.
											ABD deki Hastalık Kontrol Merkezinin belirttiğine göre
											vücudumuzda 219 adet zehirli çevre kirletici vardır
											ve bunlara koruyucu, tarım ilacı
											ve civa, kurşun gibi ağır matellar de dahildir
									","
											Je suis ici pour expliquer
											pourquoi je porte ce pyjama de ninja.
											Et pour ce faire, j'aimerais d'abord parler
											des toxines environnementales dans nos corps.
											Certains d'entre vous connaissent peut-être
											le produit chimique Bisphenol A, BPA.
											C'est un durcisseur de matériau et un estrogène synthétique
											qu'on trouve sur les parois intérieures des boites de conserve
											et de certains plastiques.
											Le BPA imite les hormones du corps
											et entraîne des problèmes de neurologiques et de reproduction.
											Et il est partout.
											Un étude récente a découvert du BPA
											chez 93 % des gens de 6 ans et plus.
											Mais ce n'est qu'un produit chimique.
											Le Centre pour le Contrôle et la prévention des Maladies aux USA
											dit que nos corps contiennent 219 polluants toxiques,
											y compris des conservateurs, des pesticides
											et des métaux lourds comme le plomb et le mercure.
									","
											Also, ich bin hier um zu erklären
											warum ich diesen Ninja-Pyjama anhabe.
											Und um das zu tun, würde ich gerne allem voran über
											umweltbelastende Giftstoffe in unseren Körpern sprechen.
											Einige von Ihnen wissen vielleicht über
											die Chemikalie Bisphenol A, BPA, Bescheid.
											Es ist ein Materialhärter und synthetisches Östrogen,
											das in der Abdichtung von Konserven
											und einigen Kunststoffen vorkommt.
											BPA ahmt also die körpereigenen Hormone nach
											und ruft neurologische und Fortpflanzungsprobleme hervor.
											Und es ist überall.
											Eine kürzliche Studie hat BPA
											in 93 Prozent aller Leute über dem Alter von 6 Jahren gefunden.
											Aber das ist nur eine Chemikalie.
											Die US-amerikanische Gesundheitsbehörde sagt,
											dass wir 219 giftige Schadstoffe in unseren Körpern tragen,
											darunter Konservierungsstoffe, Pestizide
											und Schwermetalle wie Blei und Quecksilber.
									",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
","
","
","
","
","
",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
											To me, this says three things.
											First, don't become a cannibal.
											Second, we are both responsible for and the victims of
											our own pollution.
											And third,
											our bodies are filters and storehouses
											for environmental toxins.
											So what happens to all these toxins when we die?
											The short answer is:
											They return to the environment in one way or another,
											continuing the cycle of toxicity.
											But our current funeral practices
											make the situation much worse.
											If you're cremated,
											all those toxins I mentioned are released into the atmosphere.
											And this includes 5,000 pounds of mercury
											from our dental fillings alone every year.
									","
											Para mí, esto significa tres cosas.
											Primero, no hay que comer carne.
											Segundo, somos responsables y víctimas
											de nuestra propia contaminación.
											Y tercero,
											nuestros cuerpos son filtros y almacenes
											para las toxinas ambientales.
											Ahora bien, ¿qué sucede con estas toxinas cuando morimos?
											La respuesta rápida es:
											vuelven al medio ambiente, de alguna u otra manera,
											para continuar el ciclo de toxicidad.
											Nuestras prácticas funerarias actuales
											empeoran aún más la situación.
											Si te creman,
											todas las toxinas mencionadas son liberadas en la atmósfera.
											Y esto incluye 2.300 kilos de mercurio
											de nuestros empastes dentales cada año.
									","
											A mim, isto diz-me três coisas.
											Primeiro, não sejam canibais.
											Segundo, somos responsáveis pela poluição
											e somos vítimas dela.
											Terceiro,
											o nosso corpo é um filtro e um armazém
											de toxinas ambientais.
											Então o que acontece
a todas estas toxinas quando morremos?
											A resposta curta é:
											Regressam ao meio ambiente
de uma forma ou de outra,
											dando continuidade ao ciclo de toxicidade.
											Mas as nossas práticas funerárias atuais
tornam a situação muito pior.
											Se forem cremados,
											todas estas toxinas que referi
são libertadas para a atmosfera.
											Isso inclui 2268 kg de mercúrio, por ano,
											só das nossas obturações dentárias.
									","
											Bu bana üç şey ifade ediyor.
											Öncelikle bir yamyam olmayın.
											İkincisi, her birimiz kendi yarattığımız kirliliğin
											sorumlusu ve kurbanıyız.
											Ve üçüncü olarak da,
											vücudumuz çevresel zehirler için
											filtre ve depo görevi görüyor.
											Peki biz öldüğümüzde bu zehirlere ne oluyor?
											Kısa cevap :
											Bunlar bir şekilde zehir döngüsüne
											devam etmek üzere çevreye dönüyorlar.
											Ve bizim çağımızdaki defin işlemleri
											durumu daha da kötü hale getirmektedir.
											Naaşınız yakıldığında,
											tüm bu bahsettiğim zehirli maddeler atmosfere bırakılırlar.
											Buna her yıl diş dolgusunda kullanılan
											5000 poundluk civa da dahildir.
									","
											Pour moi, cela nous dit 3 choses.
											D'abord, ne devenez pas cannibales.
											Deuxièmement, nous sommes à la fois responsables et victimes
											de notre propre pollution.
											Et troisièmement,
											nos corps sont des filtres et des lieux de stockage
											pour les toxines environnementales.
											Alors qu'advient-il de ces toxines quand nous mourrons?
											La réponse rapide est
											qu'elles retournent dans l'environnement d'une façon ou d'une autre,
											et continuent le cycle de toxicité.
											Mais nos pratiques funéraires actuelles
											rendent la situation encore pire.
											Si on vous incinère,
											toutes ces toxines que j'ai citées sont libérées dans l'atmosphère.
											Ce qui comprend 2500 kilos de mercure
											provenant de nos seuls amalgames dentaires par an.
									","
											Für mich bedeutet das drei Dinge.
											Erstens, werden Sie nicht zum Kannibalen.
											Zweitens, wir sind sowohl verantwortlich für als auch die Opfer von
											unserer eigenen Verschmutzung.
											Und drittens,
											unsere Körper sind Filter und Speicher
											für umweltbelastende Giftstoffe.
											Was passiert also mit all diesen Giftstoffen, wenn wir sterben?
											Die kurze Antwort ist:
											Sie kehren auf dem einen oder anderen Weg in die Umwelt zurück
											und setzen den Zyklus der Giftbelastung fort.
											Aber unsere aktuellen Beerdigungspraktiken
											machen die Situation noch viel schlimmer.
											Falls Sie sich verbrennen lassen,
											werden all diese Giftstoffe, von denen ich gesprochen habe, in die Atmosphäre freigelassen.
											Und das beinhaltet über zwei Tonnen Quecksilber
											nur aus unseren Zahnfüllungen, jedes Jahr.
									",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
","
","
","
","
","
",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
											And in a traditional American funeral,
											a dead body is covered with fillers and cosmetics
											to make it look alive.
											It's then pumped with toxic formaldehyde
											to slow decomposition —
											a practice which causes respiratory problems and cancer
											in funeral personnel.
											So by trying to preserve our dead bodies,
											we deny death, poison the living
											and further harm the environment.
											Green or natural burials, which don't use embalming,
											are a step in the right direction,
											but they don't address the existing toxins in our bodies.
											I think there's a better solution.
									","
											Y en un funeral estadounidense tradicional,
											un cuerpo sin vida se cubre con rellenos y cosméticos
											para que parezca que está vivo.
											Luego se lo bombea con formaldehído tóxico
											para retrasar la descomposición,
											una práctica que causa problemas respiratorios y cáncer
											al personal de las funerarias.
											Por tratar de conservar nuestros cuerpos sin vida,
											negamos la muerte, envenenamos a los vivos,
											y dañamos al medio ambiente.
											Los funerales verdes o naturales, que no usan embalsamiento,
											son un paso en la dirección correcta,
											pero no tratan las toxinas que existen en nuestro cuerpo.
											Creo que hay una mejor solución.
									","
											Num funeral americano tradicional,
											um cadáver é coberto
de enchimento e cosméticos
											para o fazer parecer vivo.
											A seguir é atafulhado
de formaldeído tóxico
											para atrasar a decomposição
											— uma prática que provoca
problemas respiratórios e cancro
											nos trabalhadores funerários.
											Por isso, ao tentar preservar
os cadáveres,
											negamos a morte, envenenamos os vivos
											e continuamos a causar danos
ao meio ambiente.
											Os enterros verdes ou naturais,
que não usam embalsamento,
											são um passo na direção correta,
											mas não lidam com as toxinas
existentes no nosso corpo.
											Penso que existe uma solução melhor.
									","
											Ve geleneksel Amerikan defin işleminde,
											naaşı canlı göstermek için
											ceset dolgular ve kozmetik maddelerle kaplanır.
											Ardından içi zehirli bir madde olan
											formaldehid ile doldurulur. Ki yavaş dağılsın.
											Bu uygulama defin ile ilgilenen kişinin
											solunum yolu problemlerine ve kanser olmasına yol açar.
											Yani ölü vücutları saklayacağız diye
											ölümü gözardı ediyoruz ve yaşamı zehirliyoruz.
											Ve dahası çevreye zarar veriyoruz.
											tahnit (doldurma) kullanmadan gerçekleştirilen
											çevreci ve doğal defin işlemi doğru yöne atılmış bir adımdır.
											Fakat bu vücudumuzda normalde var olan zehirli maddeleri adreslemez.
											Sanırım daha iyi bir çözüm mevcut.
									","
											Et lors d'un enterrement américain traditionnel,
											un cadavre est couvert de filtres et de cosmétiques
											destiné à lui donné l'air vivant.
											On lui injecte ensuite du formaldéhyde toxique
											pour ralentir la décomposition,
											une pratique qui provoque des problèmes respiratoires et des cancers
											parmi les personnes qui travaillent au funérarium.
											Et en essayant de conserver nos cadavres,
											nous nions la mort, nous empoisonnons les vivants
											et nous abimons encore plus l'environnement.
											Les enterrements écologiques ou naturels, qui n'utilisent pas d'embaumemnt,
											sont un pas dans la bonne direction,
											mais ils ne résolvent pas le problème des toxines présentes dans nos corps.
											Je crois qu'il y a une meilleure solution.
									","
											Und in einem traditionellen amerikanischen Begräbnis
											wird eine Leiche mit Füllmaterialien und Kosmetika eingedeckt,
											damit sie lebendig aussieht.
											Dann wird sie mit giftigem Formaldehyd aufgefüllt,
											um den Verwesungsprozess zu verlangsamen -
											eine Praktik, die Atmungsprobleme und Krebs
											beim Bestattungspersonal verursacht.
											Indem wir also versuchen, unsere toten Körper zu erhalten,
											leugnen wir den Tod, vergiften die Lebenden
											und fügen der Umwelt weiteren Schaden zu.
											Grüne oder natürliche Bestattungen, bei denen nicht einbalsamiert wird,
											sind ein Schritt in die richtige Richtung,
											aber sie kümmern sich nicht um die existenten Gifte in unseren Körpern.
											Ich glaube, dass es eine bessere Lösung gibt.
									",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
","
","
","
","
","
",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
											I'm an artist,
											so I'd like to offer a modest proposal
											at the intersection
											of art, science and culture.
											The Infinity Burial Project,
											an alternative burial system
											that uses mushrooms
											to decompose and clean toxins in bodies.
											The Infinity Burial Project
											began a few years ago with a fantasy
											to create the Infinity Mushroom —
											a new hybrid mushroom
											that would decompose bodies, clean the toxins
											and deliver nutrients to plant roots,
											leaving clean compost.
											But I learned it's nearly impossible
											to create a new hybrid mushroom.
											I also learned
											that some of our tastiest mushrooms
											can clean environmental toxins in soil.
											So I thought maybe I could train an army
											of toxin-cleaning edible mushrooms
											to eat my body.
									","
											Soy artista,
											y me gustaría ofrecer una propuesta modesta
											en la intersección
											del arte, la ciencia y la cultura.
											El proyecto Entierro Infinity,
											un sistema de entierro alternativo
											que usa hongos
											para descomponer y limpiar toxinas en cadáveres.
											Entierro Infinity
											empezó hace unos años con la fantasía
											de crear el hongo Infinity,
											un nuevo hongo híbrido
											para descomponer cuerpos, limpiar toxinas
											y repartir nutrientes a las raíces de las plantas,
											dejando abono limpio.
											Pero aprendí que es casi imposible
											crear un nuevo hongo híbrido.
											También aprendí
											que algunos de nuestros hongos más sabrosos
											pueden limpiar las toxinas ambientales de la tierra.
											Entonces pensé que tal vez podía entrenar un ejército
											de hongos que limpian toxinas comestibles
											para comer mi cuerpo.
									","
											Sou uma artista,
											por isso gostaria de oferecer
uma proposta modesta
											que se situa na interseção
da arte, da ciência e da cultura.
											The Infinity Burial Project,
											um sistema de enterro alternativo
que usa cogumelos
											para decompor e limpar
as toxinas do nosso corpo.
											O Infinity Burial Project
											começou há uns anos com a fantasia
de criar o Infinity Mushroom
											um novo cogumelo híbrido
											que iria decompor os corpos,
limpar as toxinas
											e distribuir nutrientes
às raízes das plantas,
											deixando composto limpo.
											Mas aprendi que é quase impossível
											criar um novo cogumelo híbrido.
											Aprendi também
											que alguns dos cogumelos mais saborosos
											podem limpar toxinas ambientais no solo.
											Então pensei que talvez
pudesse treinar um exército
											de cogumelos comestíveis
limpadores de toxinas
											para comerem o meu corpo.
									","
											Ben bir sanatçıyım,
											bu sebeple sanat, bilim ve kültürün
											kesişiminden oluşan
											mütevazi bir çözüm önermek isterim.
											Sonsuz defin projesi.
											Bu bir alternatif defin sistemidir.
											Mantarlar kullanılarak
											vücudumuzdaki zehirleri temizler ve ayrıştırır.
											Sonsuz defin projesi birkaç yıl önce
											sonsuzluk mantarı yaratma fantazisi
											sayesinde başladı.
											bu yeni bir tür melez mantardır.
											Cesedi çözer ve zehirli maddeleri temizler.
											Ayrıca bitkilerin kölerine besin iletir.
											Geriye temiz gübre bırakır.
											Fakat yeni bir melez mantar çeşidi yaratmanın
											neredeyse mümkün olmadığını öğrendim.
											Ve öğrendiğim bir başka şey ise
											bazı en lezzetli mantarların
											topraktaki çevresel zehirleri temizlediği idi.
											Böylece belki de yenilebilen mantarları
											vücudumu yemesi için zehir temizleyici
											bir ordu şeklinde eğitebileceğimi düşündüm.
									","
											Je suis une artiste
											aussi j'aimerais apporter une proposition modeste
											au croisement
											de l'art, de la science et de la culture.
											Le projet Infinity Burial (enterrement d'infinité)
											un système d'enterrement alternatif
											qui utilise des champignons
											pour décomposer et nettoyer les toxines contenues dans les corps.
											Le projet Infinity Burial
											a débuté il y a quelques années avec l'idée folle
											de créer l'Infinity Mushroom (le champignon d’infinité)
											un nouveau champignon hybride
											qui décomposerait les corps, nettoierait les toxines
											et apporterait des nutriments aux racines des plantes,
											laissant du compost propre.
											Mais j'ai appris qu'il est presque impossible
											de créer un nouveau champignon hybride.
											J'ai aussi appris
											que certains des champignons les plus savoureux
											peuvent nettoyer les toxines environnementales dans le sol,
											Alors j'ai pensé que je pouvais peut-être entrainer une armée
											de champignons comestibles capable de nettoyer les toxines
											à manger mon corps.
									","
											Ich bin Künstlerin,
											also würde ich gerne einen bescheidenen Vorschlag
											an der Kreuzung
											zwischen Kunst, Wissenschaft und Kultur machen.
											Das ""Infinity Burial Project"",
											ein alternatives Beerdigungssystem,
											das Pilze verwendet,
											um Giftstoffe in Körpern zu zersetzen und zu säubern.
											Das ""Infinity Burial Project""
											hat vor ein paar Jahren mit der Fantasie begonnen,
											den ""Infinity Mushroom"" (Unendlichkeitspilz) zu kreieren -
											einen neuen hybriden Pilz,
											der unsere Körper zersetzen, Giftstoffe reinigen,
											Pflanzenwurzeln mit Nährstoffen versorgen
											und nur sauberen Kompost hinterlassen würde.
											Aber ich habe gelernt, dass es fast unmöglich ist,
											einen neuen hybriden Pilz zu schaffen.
											Ich habe auch gelernt,
											dass einige unserer leckersten Pilze
											umweltbelastende Giftstoffe im Boden reinigen können.
											Also habe ich gedacht, vielleicht kann ich einer Armee
											von Giftstoff-reinigenden essbaren Pilzen beibringen,
											meinen Körper aufzuessen.
									",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
","
","
","
","
","
",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
"
											So today, I'm collecting what I shed or slough off —
											my hair, skin and nails —
											and I'm feeding these to edible mushrooms.
											As the mushrooms grow,
											I pick the best feeders
											to become Infinity Mushrooms.
											It's a kind of imprinting and selective breeding process
											for the afterlife.
											So when I die,
											the Infinity Mushrooms will recognize my body
											and be able to eat it.
											All right, so for some of you,
											this may be really, really out there.
											(Laughter)
											Just a little.
									","
											Actualmente, estoy juntando lo que libero o desprendo:
											pelo, piel y uñas;
											con esto alimento a estos hongos comestibles.
											A medida que crecen,
											elijo los más rendidores
											para convertirse en hongos Infinity.
											Es un proceso de crianza selectivo
											para la vida después de la muerte.
											Entonces cuando yo muera,
											los hongos Infinity reconocerán mi cuerpo
											y se lo podrán comer.
											Bien, para algunos
											esto puede ser muy, muy alocado.
											(Risas)
											Sólo un poco.
									","
											Por isso hoje, ando a recolher
o que me cai do cabelo,
											da pele e das unhas
											e alimento esses cogumelos
comestíveis com isso.
											À medida que os cogumelos crescem,
											escolho os que comem mais
											para se tornarem Infinity Mushrooms.
											É um tipo de fixação
e de processo de reprodução seletiva
											para a vida depois da morte.
											Para que, quando eu morrer,
											os Infinity Mushrooms
reconheçam o meu corpo
											e sejam capazes de o comer.
											Muito bem, para alguns de vós,
											isto deve ser mesmo muito fora.
											(Risos)
											Só um pouco.
									","
											Bu günlerde benden çıkan saç, deri ya da
											tırnak parçalarını toplayarak bu yenilebilen mantarlara
											yedirmek için kulanıyorm.
											Mantarlar büyürlerken
											en iyi beslenenleri sonsuzluk mantarları
											olacak şekilde seçiyorum.
											Bu bir şekil hayat sonrası için işaretlemeli ve seçmeli
											üretme sürecidir.
											Yani ben öldüğümde
											sonsuzluk mantarları vücudumu tanıyacak
											ve onu yiyebilecek.
											Peki, bazılarınız için bu
											gerçekten, gerçekten de uçuk kaçık olabilir.
											(Gülüşmeler)
											Sadece birazcık.
									","
											Donc aujourd'hui, je collecte ce que que mon corps perd,
											mes cheveux, ma peau, mes ongles,
											et je nourris ces champignons comestibles.
											Quand les champignons poussent,
											je sélectionne les plus performants
											pour en faire des Champignons d'Infinité.
											C'est un procédé de culture sélective qui s'imprime
											pour la vie après la mort.
											Alors quand je mourrai,
											les Champignons d'Infinité reconnaitront mon corps
											et seront en mesure de le manger.
											Bien, donc pour certains d'entre vous,
											c'est peut-être totalement dingue.
											(Rires)
											Juste un peu.
									","
											Heute also, sammle ich was ich abwerfe oder was sich von mir ablöst -
											meine Haare, Haut und Nägel -
											und ich füttere essbare Pilze damit.
											Während die Pilze wachsen,
											wähle ich die besten Esser aus,
											um Unendlichkeitspilze zu werden.
											Es ist eine Art Prozess von Einprägung und selektiver Zucht
											für das Leben nach dem Tod.
											Damit, wenn ich sterbe,
											der Unendlichkeitspilz meinen Körper erkennen
											und ihn essen kann.
											Okay, für einige von Ihnen
											klingt das wahrscheinlich sehr, sehr verrückt.
											(Gelächter)
											Nur ein bisschen.
									",My mushroom burial suit,Jae Rhim Lee,7:30,"TED Fellows,death,design,green,invention,art,fungi"
