en,fr,tr,title,speaker,duration,tags
"
","
","
",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
											You’ve found Leonardo Da Vinci’s 
secret vault,
											secured by a series of combination locks.
											Fortunately, your treasure map 
has three codes:
											1210,
											3211000,
											and… hmm.
											The last one appears to be missing.
											Looks like you’re gonna have 
to figure it out on your own.
									","
											Vous avez trouvé
la chambre forte de Léonard de Vinci,
											sécurisée par une série
de cadenas à combinaison.
											Heureusement, votre carte au trésor
contient trois codes :
											1210,
											3211000,
											et... euh.
											Le dernier semble être manquant.
											Apparemment, il va falloir
le découvrir par vous-même.
									","
											Leonardo Da Vinci'nin
gizli mahzenini buldunuz,
											bir dizi şifreli kilit ile korunuyor.
											Neyse ki define haritanızda üç kod var:
											1210,
											3211000
											ve... hmm.
											Sonuncusu kaybolmuş.
											Onu sizin tahmin etmeniz
gerekecek gibi gözüküyor.
									",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
","
","
",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
											There’s something those 
first two numbers have in common:
											they’re what’s called 
autobiographical numbers.
											This is a special type of number 
whose structure describes itself.
											Each of an autobiographical
number’s digits
											indicates how many times
											the digit corresponding to that
position occurs within the number.
											The first digit indicates 
the quantity of zeroes,
											the second digit indicates 
the number of ones,
											the third digit the number of twos, 
and so on until the end.
									","
											Il y a une particularité commune
à ces deux premiers nombres :
											ils sont ce qu'on appelle
des nombres autobiographiques.
											C'est un type de nombre spécial
dont la structure se décrit elle-même.
											Chacun des chiffres
d'un nombre autobiographique
											indique combien de fois
											on trouve le chiffre correspondant
à sa position dans le nombre.
											Le premier chiffre indique
la quantité de zéros,
											le deuxième indique
la quantité de uns,
											le troisième, la quantité de deux,
et ainsi de suite jusqu'à la fin.
									","
											Bu ilk iki sayının ortak bir noktası var:
											Onlar, otobiyografik sayı
adı verilen sayılar.
											Bu, yapısı kendisini
tanımlayan özel bir sayı türüdür.
											Otobiyografik sayının her hanesi,
											sayı içerisinde o pozisyona
											tekabül eden hanenin
kaç kez oluştuğunu belirtir.
											İlk hane, sıfırların miktarını belirtir,
											ikinci hane birlerin sayısını belirtir,
											üçüncü hane ise ikilerin
ve sonuna dek böyle devam eder.
									",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
","
","
",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
											The last lock takes a 10 digit number,
											and it just so happens
											that there’s exactly one ten-digit
autobiographical number.
											What is it?
											Pause here if you want 
to figure it out for yourself!
											Answer in: 3
											Answer in: 2
											Answer in: 1
									","
											Le dernier cadenas requiert
un nombre à 10 chiffres,
											et il se trouve
											qu'il y a exactement un nombre
autobiographique à 10 chiffres.
											Lequel ?
											[Mettez sur pause ici si vous voulez
le découvrir par vous-même !]
											Réponse dans : 3
											Réponse dans : 2
											Réponse dans : 1
									","
											Son kilitte 10 haneli bir sayı var
											ve tesadüfe bakın ki
											tam anlamıyla bir tane
on haneli otobiyografik sayı vardır.
											O nedir?
											Kendiniz çözmek istiyorsanız,
burada durdurun!
											Cevap geliyor: 3
											Cevap geliyor: 2
											Cevap geliyor: 1
									",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
","
","
",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
											Blindly trying different combinations 
would take forever.
											So let’s analyze the autobiographical 
numbers we already have
											to see what kinds of patterns we can find.
											By adding all the digits in 1210 together,
											we get 4 – the total number of digits.
											This makes sense 
since each individual digit
											tells us the number of times a specific 
digit occurs within the total.
											So the digits in our 
ten-digit autobiographical number
											must add up to ten.
									","
											Essayer des combinaisons différentes
à l'aveugle serait bien trop long.
											Analysons donc les nombres
autobiographiques que nous avons déjà
											pour voir quels motifs récurrents
on peut trouver.
											En faisant la somme
de tous les chiffres de 1210,
											on obtient 4, le nombre total de chiffres.
											Cela a du sens
car chaque chiffre
											indique le nombre total d’occurrences
d'un chiffre en particulier.
											La somme des 10 chiffres
de notre nombre autobiographique
											doit ainsi donner 10.
									","
											Körü körüne farklı kombinasyonlar
denemek sonsuza dek sürer.
											Öyleyse, ne tür modeller bulabileceğimizi
görmek için elimizdeki
											otobiyografik sayıları inceleyelim.
											1210'daki tüm haneleri
bir araya getirirsek,
											4 elde ederiz - hanelerin toplamı.
											Her bireysel hane, toplam
içerisinde belirli bir hanenin
											gerçekleşme sayısını
belirttiği için, bu mantıklıdır.
											Yani, on haneli otobiyografik
sayımızdaki haneler
											10'a tamamlanmalıdır.
									",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
","
","
",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
"
											This tells us another important thing –
											the number can’t have 
too many large digits.
											For example,
											if it included a 6 and a 7,
											then some digit would 
have to appear 6 times,
											and another digit 7 times–
											making more than 10 digits.
											We can conclude 
that there can be no more
											than one digit greater than 5 
in the entire sequence.
											So out of the four digits 6, 7, 8, and 9,
											only one – if any— will make the cut.
											And there will be zeroes in the positions
											corresponding to the numbers 
that aren’t used.
											So now we know that our number
must contain at least three zeroes –
											which also means that the leading 
digit must be 3 or greater.
									","
											Cela nous indique
une autre chose importante :
											le nombre ne peut pas
avoir trop de gros chiffres.
											Par exemple,
											s'il avait un 6 et un 7,
											un certain chiffre
devrait apparaître 6 fois,
											et un autre 7 sept fois,
											ce qui ferait plus de 10 chiffres.
											Nous pouvons conclure
qu'il ne peut pas y avoir plus
											d'un chiffre supérieur à 5
dans la séquence entière.
											Donc, entre les quatre chiffres
6, 7, 8, et 9,
											uniquement un seul sera qualifié, au plus.
											Et il y aura des zéros dans les positions
											correspondant aux nombres non-utilisés.
											Nous savons donc que notre nombre
doit contenir au moins trois zéros,
											ce qui signifie que le premier chiffre
doit être un 3 au minimum.
									","
											Bu bize başka önemli bir şey söylüyor -
											sayı, çok büyük hanelere sahip olamaz.
											Örneğin,
											bir 6 ve bir 7 içerseydi,
											o zaman bir hane 6 kez ortaya çıkardı
											ve diğer hane de 7 kez -
											bu da 10'dan fazla hane demektir.
											Bütün bu dizide, 5'den büyük bir hanenin
											birden fazla olamayacağı
sonucuna varabiliriz.
											Yani dört adet 6, 7, 8 ve 9 hanelerinden
											yalnızca birisi - varsa - kabul edilir.
											Ayrıca kullanılmayan sayılara tekabül eden
											pozisyonlarda sıfırlar olacaktır.
											Şimdi sayımızın en az üç sıfır içermesi
gerektiğini biliyoruz -
											yani baştaki hane
3 veya üçten daha büyük olmalı.
									",Can you solve the Leonardo da Vinci riddle?,Tanya Khovanova,4:47,"TED-Ed,math"
