en,tr,pt,title,speaker,duration,tags
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											You’re on the trail of a werewolf
											that’s been terrorizing your town.
											After months of detective work,
											you’ve narrowed your suspects to 
one of five people:
											the mayor,
											the tailor,
											the baker,
											the grocer,
											or the carpenter.
									","
											Son zamanlarda, kasabanızda terör estiren
											bir kurt adamın izini sürüyorsunuz.
											Birkaç ay süren dedektiflikten sonra,
											tahminlerinizi beş kişiye indirdiniz:
											Belediye başkanı,
											terzi,
											fırıncı,
											manav
											ya da marangoz.
									","
											Andas na peugada de um lobisomem
											que está a aterrorizar a tua cidade.
											Ao fim de meses de investigação,
											reduziste os suspeitos a cinco pessoas:
											o ""mayor""...
o alfaiate,
											o padeiro...
o merceeiro
											ou o carpinteiro.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											You’ve invited them to dinner 
with a simple plan:
											you’ll slip a square of 
a rare werewolf antidote
											into each of their dinners.
											Unfortunately, your pet goat
just ate four of the squares,
											and you only have one left.
									","
											Ufak bir plan yapıp
onları akşam yemeğine davet ettiniz.
											Her birinin yemeğine
çok nadir bulunan
											kurt adam panzehiri
karesi atacaksınız.
											Ne yazık ki evcil keçiniz
dört parça panzehiri yedi
											ve geriye sadece bir tane kare kaldı.
									","
											Convidaste-as para jantar
com um plano simples:
											meter um quadrado de antídoto raro
											em cada um dos pratos.
											Infelizmente, a tua cabra mascote
comeu quatro dos quadrados
											e só sobejou um.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											Luckily, the remaining square is 50 grams,
											and the minimum effective dose 
is 10 grams.
											If you can precisely divide the 
square into fifths
											you’ll have just enough 
antidote for everyone.
									","
											Tesadüf eseri, kalan kare 50 gram
											ve minimum etki edecek doz 10 gram.
											Eğer kareyi net olarak 
beşe bölebilirseniz
											herkese yetecek panzehriniz olacak.
									","
											Felizmente, o quadrado restante
pesa 50 gramas
											e a dose mínima eficaz é de 10 gramas.
											Se conseguires dividir o quadrado
em cinco partes exatamente iguais,
											terás antídoto suficiente para todos eles.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											You’ll have to use a laser-cutting tool
to cut up the square;
											every other means available to you
isn’t precise enough.
											There are 8 points that can act 
as starting or ending points for each cut.
											To use the device, you’ll
have to input pairs of points
											that tell the laser where to begin 
and end each cut,
											and then the laser executes
all the cuts simultaneously.
									","
											Kareyi kesmek için lazerli kesme
aleti kullanacaksınız.
											Diğer araçlar bu iş için uygun değil.
											Her kesik için başlangıç veya son
olabilecek sekiz nokta var.
											Aleti kullanmak için
lazerin nerede başlayıp nerede biteceğini
											söylemek için bir çift noktayı
girdi olarak sağlamanız gerekiyor
											ve sonra lazer bütün parçaları
aynı anda kesecek.
									","
											Tens de usar um instrumento
de corte a laser para cortar o quadrado:
											todos os outros meios disponíveis
não são suficientemente rigorosos.
											Há oito pontos que podem
servir como ponto de partida
											ou ponto de chegada para cada corte.
											Para usar o instrumento,
tens de introduzir os pares de dados
											dos pontos que indicam ao laser
											onde começar e onde terminar cada corte.
											Depois, o laser executa
todos os cortes ao mesmo tempo.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
","
","
",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
"
											It’s okay to cut the square 
into as many pieces as you want,
											as long as you can group them
into 10 gram portions.
											But you can’t fold the square 
or alter it otherwise,
											and you only get one shot 
at using the laser cutter.
											The full moon is rising, 

											and in a moment someone
will transform and tear you all apart
											unless you can cure them first.
									","
											10 gramlık porsiyonlar halinde
grupladığınız sürece,
											kareyi istediğiniz kadar
parçaya bölebilirsiniz.
											Fakat kareyi katlayamaz
ya da değiştiremezsiniz
											ve lazer kesiciyi kullanmak için
tek bir şansınız var.
											Dolunay yükseliyor
											ve tedavi etmenin bir yolunu
bulamazsanız
											biri birkaç dakika içinde kurt adama 
dönüşecek ve hepinizi parçalayacak.
									","
											Podes cortar o quadrado
em tantos bocados quantos quiseres,
											desde que os possas agrupar
em porções de 10 gramas.
											Mas não podes dobrar o quadrado
nem alterá-lo, seja como for,
											e só tens uma hipótese
de usar o instrumento de corte.
											A lua cheia está a nascer
e, dentro de momentos,
											alguém se vai transformar
e dar cabo de todos vocês,
											a não ser que o cures primeiro.
									",Can you solve the secret werewolf riddle?,Dan Finkel,3:33,"TED-Ed,math"
