es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											De día soy un inversionista de capital de riesgo. Los fines de semana amo los cohetes.
											Amo la fotografía, amo los cohetes,
											y hablaré sobre un pasatiempo que puede escalar
											y les mostraré fotos que he tomado estos años
											con niños como estos, quienes ojalá crezcan amando la cohetería
											y se conviertan en otro Richard Branson o Diamandis.
											Mi hijo diseñó un cohete estable —
											una pelota de golf cohete. Consideré que fue un experimento interesante
											sobre los principios de la astronáutica
											y vuela recto como una flecha.
									","
											Hafta içi girişimci sermayeciyim. Haftasonları, işim roketlerle.
											Fotoğrafçılığı seviyorum, roketleri seviyorum,
											ve derecelendirebildiğim bir hobi hakkında konuşacağım
											ve çocuklarla beraber yıllardır çektiğim bazı
											fotoğrafları göstereceğim, umarım çocuklar roketleri severek büyüyecekler,
											ve sonunda Richard Branson veya Diamandis gibi olacaklar.
											Oğlum sabit bir roket tasarladı —
											bir golf topu roketi. Düşündüm ki; roket bilimi
											prensiplerine göre oldukça ilginç
											bir deneme ve bir ok gibi düz gidiyor.
									","
											En semaine, je suis un requin de la finance. Le week-end, je lance des fusées.
											J'adore la photographie, j'adore les fusées,
											et je vais vous parler d'une passion qui peut vous dévorer,
											et vous montrer quelques photos que j'ai prises au fil des ans
											avec des enfants comme ceux-ci, qui espérons-le grandiront dans l'amour de l'aéronautique
											et peut-être se révèleront les nouveaux Richard Branson ou Diamandis.
											Mon fils a conçu une fusée viable -
											une fusée-balle de golf. J'ai trouvé que c'était une expérience intéressante
											pour les principes de l'aéronautique,
											elle file droit comme une flèche.
									","
											Während der Woche arbeite ich als Risikokapitalgeber. Am Wochenende, liebe ich Raketen.
											Ich liebe die Fotografie, ich liebe Raketen und
											ich werde Ihnen über ein faszinierendes Hobby erzählen und
											Ihnen einige Fotos zeigen, die ich über die Jahre gemacht habe
											mit Kindern wie diesen. Kindern, die hoffentlich aufwachsen und Raketentechnik lieben werden
											und am Ende womöglich ein neuer Richard Branson oder Diamandis werden.
											Mein Sohn hat eine Rakete gebaut, die tatsächlich flog —
											eine Golfball-Rakete. Ich fand es ein ziemlich interessantes Experiment
											nach den Grundsätzen der Raketentechnik,
											sie fliegt tatsächlich gerade wie ein Pfeil.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Bicarbonato de sodio y vinagre.
											Las tomas de noche son hermosas,
											atravesando la Osa Mayor y la Vía Láctea.
											Cohetes de dos etapas, que llevan videocámaras y
											computadoras a bordo registrando los vuelos.
											Cohetes planeadores volando de regreso a tierra.
											Uso RockSim para simular vuelo antes de lanzarlos
											y saber si romperán la barrera del sonido o no,
											y vuelan con computadoras a bordo para verificar su desempeño.
									","
											Karbonat ve sirke.
											Gece çekimleri güzeldir,
											Büyükayı ve Samanyolunu delip geçen.
											İki parçalı roketler, üzerinde video kamera olan roketler,
											ucuçlarını kaydeden bilgisayarlarlı olanlar.
											Dünyaya geri dönen roket planörleri.
											Ses hızını aşıp aşmayacaklarını göndermeden
											simule etmek için RockSim'i kullanıyorum,
											ve performanslarını doğrulamak için üzerindeki bilgisayarlarla uçuruyorum.
									","
											Elle fonctionne au soda et au vinaigre.
											Les clichés nocturnes sont magnifiques,
											sur fond de Grande Ourse et de Voie Lactée.
											Des fusées à deux étages, des fusées munies de caméras vidéo,
											d'ordinateurs embarqués qui enregistrent le vol.
											Des fusées-planeurs qui redescendent sur Terre.
											J'utilise RockSim pour simuler les vols au préalable
											pour voir si elles passeront ou non le mur du son
											et ensuite je les lance avec des ordinateurs embarqués pour vérifier leurs performances.
									","
											Backpulver und Essig.
											Nachtaufnahmen, die den großen Wagen
											und die Milchstrasse durchfliegen sind wunderschön.
											Zweistufige Raketen, Raketen mit Videokameras,
											Bordcomputer die Flugverläufe aufzeichnen.
											Raketengleiter die zurück zur Erde fliegen.
											Ich benutze RockSim um Flüge zu simulieren bevor sie starten
											um zu sehen ob sie Überschallgeschwindigkeit erreichen oder nicht
											und dann lasse ich sie mit einem Bordcomputer fliegen um ihre Leistung zu überprüfen.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Para lanzar los más grandes, hay que ir al medio de la nada—
											el desierto Black Rock, donde suceden cosas peligrosas.
											Y los niños crecen y los cohetes crecen.
											Y usan motores
											utilizan aceleradores de misiles de crucero, literalmente.
											Hacen retumbar la panza y dejan asombrados incluso a los fotógrafos
											al observar el espectáculo.
											Estos usan motores experimentales con óxido nitroso.
											Usan propulsores sólidos con mayor frecuencia.
											Es una extraña forma de amor.
									","
											Nereye gittiği belli olmayan tehlikleri ve
											büyük şeyler için Black Rock çölü
											Çocuklar büyüdükçe roketler de büyüyorlar.
											Ve onlar motorla çalışıyorlar, gerçekten de
											füze motorlarını kullanıyor.
											Gümbürdüyor ve fotoğrafçıları bile hayranlık
											dolu bir saygı içinde bırakıyorlar.
											Bu roketler deneysel azot oksit motor kullanıyor.
											Çoğunlukla katı iticiler kullanıyorlar.
											Bu garip bir aşk.
									","
											Mais pour lancer les gros engins, on va au milieu de nulle part...
											Black Rock Desert, c'est là qu'on fait les trucs dangereux.
											Et les enfants grandissent, et les fusées grandissent.
											Et ils utilisent des moteurs,
											ils utilisent des vrais propulseurs de missiles.
											Ça vous remue les tripes et même les photographes restent bouche bée
											devant le spectacle.
											Ces fusées-ci utilisent des moteurs expérimentaux, à l'oxyde nitreux par exemple.
											Elles utilisent le plus souvent des combustibles solides.
											C'est une passion étrange.
									","
											Aber um die richtig Grossen zu starten, sollte man weit weg fahren —
											die Black Rock Wüste, wo gefährliche Dinge passieren.
											Und die Jungs werden grösser und die Raketen werden grösser.
											Und sie benutzen Antriebe,
											welche man in Marschflugkörpern verwendet.
											Sie lassen den Bauch beben und Fotografen vor Ehrfurcht erzittern,
											die das Spektakel betrachten.
											Diese Raketen benutzen experimentelle Antriebe wie Stickstoffoxid.
											Meistens jedoch einen Festtreibstoff.
											Es ist eine seltsame Art von Liebe.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Tenemos el sitio Rocketmavericks.com con fotos,
											si quieren saber más— participen, sean espectadores.
											Mavericks ('Inconformistas'), teníamos que llamarlo Rocket Mavericks.
											Este fue grandioso. Voló casi 30,000 metros,
											pero no lo logró... Se hundió 3.6 metros en la arcilla,
											y se convirtió en una bomba antibúnker,
											perforando la arcilla... Escarvamos para sacarlo.
									","
											Eğer daha fazla şey öğrenmek, katılmak, izleyici olmak isterseniz
											resimlerin olduğu Rocketmavericks.com isimli bir web sayfamız var.
											Başınabuyruklar. Biz onlara Rocket Mavericks (Başına buyruk roketler) diyoruz.
											Bu gördüğünüz muhteşemdi. 30.000 metre gitti,
											fakat yeterli değildi. Aslında katı toprakta 3 metre gitti,
											ve delici rokete dönüştü.
											kumun içine doğru ilerledi. Çıkarılmak zorunda kaldı.
									","
											Nous avons un site web, Rocketmavericks.com, avec mes photos,
											si vous voulez en apprendre plus - ou participer, venir assister à un lancement.
											Des dingues. On se devait de l'appeler Rocket Mavericks.
											Celle-là était très bonne. Elle est montée à 30 000 mètres
											mais elle n'a pas vraiment... en fait, elle s'est enfoncée de 3 mètres dans le sol
											et s'est transformée en super-foreuse
											s'enfonçant dans le sol... on a dû creuser pour la sortir de là.
									","
											Wir haben eine Webseite (Rocketmavericks.com) mit meinen Fotos,
											wenn Sie mehr darüber erfahren möchten — schauen sie vorbei.
											Mavericks. Wir mussten es Rocket Mavericks nennen.
											Diese hier war klasse. Sie stieg auf 100.000 Fuß,
											nicht wirklich — eigentlich grub sie sich 3 Meter in den festen Lehmboden
											und wurde damit zu einer bunkerbrechenden Waffe,
											die sich in die Erde bohrt — sie musste dann ausgegraben werden.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Los cohetes se salen de control en espiral si pones demasiado propulsor.
											Esta fue una carrera de arrancones.
											De noche puedes ver lo que sucedió en un segundo,
											de día los llamamos tiburones de tierra.
											A veces explotan o caen a velocidad supersónica.
									","
											Eğer çok fazla itici koyarsanız, roketler genelde kontrol dışı dönerler.
											Burada bir kalkış yarışı var.
											Geceleyin, neler olduğunu bir saniye içinde görebilirsiniz,
											gündüz vakti ise onlara kara köpekbalıkları diyoruz.
											Bazen siz göremeden patlıyorlar, yani sesten hızlı oluyorlar.
									","
											Les fusées partent souvent en vrille si vous leur donnez trop de combustible.
											Ça c'était une course de sprint.
											La nuit vous pouvez voir ce qui s'est passé en une seconde,
											le jour on a affaire à des 'requins des terres'.
											Parfois elles explosent tout simplement sous vos yeux, ou retombent à pleine vitesse.
									","
											Raketen geraten häufig außer Kontrolle wenn man sie mit zuviel Treibstoff belädt.
											Hier ein Kopf an Kopf rennen.
											Bei Nacht kann man sofort sehen was passiert ist,
											bei Tag nennen wir sie Landhaie.
											Manchmal explodieren sie einfach vor deinen Augen oder stürzen mit Überschall herunter.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Para esta toma hice lo que hago a menudo.
											Irme lejos de las plataformas donde no hay espectadores.
											Y si podemos ver el video, les mostraré lo que implicó
											obtener esta toma tipo DreamWorks.
									","
											Bunu çekebilmek için, genelde yaptığım gibi hiçbir
											izleyicinin olmadığı rampaların ilerisine gidiyorum.
											Eğer videoyu çalıştırabilirsek, size bu DreamWorks
											çekimi elde etmenin neye mal olduğunu göstereceğim.
									","
											Pour prendre cette photo, j'ai fait comme souvent,
											je suis allé derrière l'aire de lancement, où les spectateurs ne vont pas.
											Si la vidéo marche, je vais pouvoir vous montrer ce qu'on a dû faire
											pour obtenir cette photo ""DreamWorks"".
									","
											Um dieses Foto zu schießen, machte ich etwas das ich häufig tue,
											und zwar mich etwas weiter weg von der Startplattform zu positionieren, wo kein anderer Zuschauer ist.
											Und wenn wir das Video abspielen, werde ich Ihnen zeigen, wie
											ich dieses traumhafte Bild machen konnte.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											(voces en el video) ""Sí. Bien.""
									","
											Video: Evet, İyi.
									","
											Vidéo : Des voix : Ouais! Pas mal!
									","
											Video: Stimmen: Oh ja! Toll!
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Esto es raro. Aquí se dieron cuenta que la computadora falló.
											Gritan para jugar. Gritan para jugar. Voces: ""Oh, diantres"".
									","
											Bu nadirdir. Burası bilgisayarın bozulduğunu farkettikleri yer.
											Çalıştırmak için bağrırıyorlar. Çalıştırmak için bağrırıyorlar. Hay aksi.
									","
											Steve Jurvetson : Ça c'est rare. C'est le moment où ils se rendent compte que l'ordinateur a planté.
											Ils veulent y croire, ils veulent y croire. Voix : Oh merde.
									","
											Steve Jurvetson: Das ist selten. Hier bemerken sie, dass der Computer ausgefallen ist.
											Sie schreien und schreien. Stimmen: Oh Scheisse.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Aquí se dan cuenta de que a bordo todo es un caos.
									","
											SJ: Bu şasenin üzerindeki herşeyin sapıttığını farkettikleri zaman.
									","
											SJ : Là ils se rendent compte que rien ne va plus.
									","
											SJ: Hier realisieren sie, dass alles an Bord verrückt spielt.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											""Se ha vuelto loco. Oh diantres.""
									","
											Sesler: Güdümlü füze gibi. Hay aksi.
									","
											Voix : Ça devient balistique. Oh merde.
									","
											Stimmen: Es fliegt in die Luft. Oh Scheisse.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Ahora me quedaré callado.
									","
											SJ: Sessiz olacağım.
									","
											SJ : Je vais rester calme.
									","
											SJ: Ich werde einfach ruhig sein.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											""No.
											Arriba, arriba, arriba"".
									","
											Sesler: Hayır.
											Yukarı, yukarı, yukarı.
									","
											Voix : Non!
											Monte, monte, monte!
									","
											Stimmen: Nein.
											Hoch, hoch, hoch.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
											Ese de allá soy yo tomando fotos de todo el proceso.
											Las cosas ha menudo salen mal.
											Hay quienes observan el evento con una fascinación tipo NASCAR
											cosas se golpean, tuercen, se quema el paracaídas.
											Eso fue el pasado fin de semana.
											Este subió, alcanzó la velocidad del sonido y se partió
											hubo venta de garage en el cielo,
											y un trozo de metal quemándose cayó de vuelta.
											Estas cosas caen del cielo todo el fin de semana
											de lanzamiento, tras lanzamiento, tras lanzamiento.
											Es una cadencia que no se pueden imaginar.
											Y de muchas formas intento capturar los percances—
											es el reto en fotografía cuando estas cosas suceden
											en una fracción de segundo.
									","
											SJ: Oradaki benim, her yerin fotoğrafını çekiyorum.
											İşler genelde kötü gidiyor.
											Genelde insanlar bu olayı geçen hafta sonundaki
											çarpan, gıcırdıyan, düşerken yanan paraşütlerin
											olduğu NASCARımsı olaya benzettiklerinden izliyor.
											Bu arkadaş yukarı gitti, ses hızını aştı, kanadı parçalandı,
											gökyüzünde eşya satışı gibi oldu ve
											yanan koca bir metal olarak geri dönüyor.
											Her bir rokettten sonra, üst üste, üst üste
											bu şeyler havadan yağabilir.
											Bu hayal edemeyceğiniz bir ahenk.
											Bir çok şekilde, aksilikleri yakalamaya çalıştım —
											fotoğrafın zorluğu ise bunların
											saniyenin bir diliminde olması.
									","
											SJ : Là c'est moi, qui prends des photos tout du long.
											Ça se passe souvent mal.
											Certains gens regardent ces lancements à cause d'une sorte de 'fascination NASCAR'
											avec des trucs qui se cabossent, qui s'écrasent, qui brûlent leur parachute en tombant..
											ça c'était le week-end dernier.
											Celle-ci est monté, a passé le mur du son, a perdu son aileron,
											genre vide-grenier en plein ciel,
											tout ce qu'on a récupéré est un bloc de métal brûlant.
											Ces machines pleuvent du ciel tout au long du week-end,
											lancement après lancement.
											Ça se déroule à un rythme pas possible.
											Moi j'essaye de saisir les ratés au vol;
											c'est un défi pour le photographe quand l'action se passe
											en une fraction de seconde.
									","
											SJ: Und das bin ich dort drüben, die ganze Zeit am Fotos machen.
											Dinge gehen häufig schief.
											Manche schauen sich solche Veranstaltungen wegen der NASCAR-ähnlichen Faszination an,
											in denen etwas zusammenstößt, an der Bande entlang schleift oder der Fallschirm abbrennt —
											das geschah letztes Wochenende.
											Diese Rakete stieg auf, schaffte Überschall und dabei riss die Flügelflosse ab,
											Ausverkauf im Himmel
											und ein brennender Haufen Schrott, der zurückkommt.
											Solche Sachen fielen überall herunter, dass ganze Wochenende hindurch
											Raketenstart, nach Raketenstart, nach Raketenstart.
											Und das in einer Häufigkeit, die man sich kaum vorstellen kann.
											Meistens versuche ich das Scheitern festzuhalten —
											das ist die Herausforderung beim Fotografieren
											wenn das in Sekundenbruchteilen passiert.
									",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
"
","
","
","
",Model rocketry,Steve Jurvetson,3:22,"children,design,entertainment,parenting,photography,rocket science,space,toy"
