fr,en,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Ça fait longtemps que je jongle
											mais bien avant ça j'étais golfeur, et c'est ce qui me définissait, être golfeur.
											Et en tant que golfeur, et aussi quand j'étais enfant
											une des choses dont je me suis vraiment imprégné,
											que j'ai gardé avec moi toute ma vie, c'est un processus.
											C'est le processus d'apprendre des choses.
											Quelque chose de remarquable, c'est que mon père était un golfeur passionné, mais il était gaucher.
											Et il avait une vraie passion pour le golf,
											et il avait aussi créé toute cette mythologie
											à propos de Ben Hogan et de diverses autres choses.
											Eh bien, j'ai appris beaucoup de choses intéressantes
											dont je ne connaissais rien à l'époque, mais que j'ai appris à connaître en grandissant.
											Et parmi ces choses se trouvait la mythologie de la technique.
									","
											I started juggling a long time ago,
											but long before that, I was a golfer, and that's what I was, a golfer.
											And as a golfer and as a kid,
											one of the things that really sort of seeped into my pores,
											that I sort of lived my whole life, is process.
											And it's the process of learning things.
											One of the great things was that my father was an avid golfer, but he was lefty.
											And he had a real passion for golf,
											and he also created this whole mythology
											about Ben Hogan and various things.
											Well, I learned a lot about interesting things
											that I knew nothing about at the time, but grew to know stuff about.
											And that was the mythology of skill.
									","
											Jonglörlüğe uzun zaman önce başladım,
											ancak bundan da önce, bir golf oyuncusu idim, yani işte bir golfcü idim.
											Ve bir golfcü ve bir çocukken,
											hücrelerime kadar işleyen şeylerden biri,
											süreç oldu - ki hayatım boyunca yaşadım.
											Ve bu birşeyleri öğrenme sürecidir.
											Harika olan şeylerden biri babamın tutkulu bir golfcü olmasıydı, ancak solaktı.
											Ve golfe gerçekten tutkundu,
											ve Ben Hogan hakkındaki bu bütün mitolojiyi
											ve çeşitli şeyleri yarattı.
											Evet, birçok ilginç şey öğrendim
											birçoğu hakkında hiçbir fikrim yoktu, ancak zaman içinde öğrendim.
											Bunlar arasında biri de hüner efsanesiydi.
									","
											Ich habe vor langer Zeit angefangen mit Jonglieren.
											Viel länger aber war ich ein Golfer. Und das war, was ich war, ein Golfer.
											Und als Golfer und als Kind
											was mich irgendwie bis in die Poren durchdrang,
											was ich sozusagen mein ganzes Leben schon lebe, ist Prozess.
											Und zwar der Prozess des Lernens.
											Eines der grössten Dinge war, dass mein Vater, auch ein passionierter Golfer war, ein Linkshänder.
											Und er hatte eine grosse Leidenschaft für Golf,
											und er kreierte auch diese ganze Mythologie
											über Ben Hogan und verschiedenste andere Dinge.
											Also, ich lernte viel über verschiedene interessante Dinge,
											von denen ich damals keine Ahnung hatte, aber mir langsam Wissen darüber aneignete.
											Und das war die Mythologie über die Geschicklichkeit.
									","
											Empecé a hacer malabares hace mucho tiempo
											pero mucho antes era golfista, eso es lo que era, golfista.
											Y como golfista y niño que era
											una de las cosas que me salía naturalmente
											que me acompañó toda mi vida es la idea de proceso.
											La idea del proceso de aprendizaje.
											Mi padre era un ávido golfista, y eso una gran cosa, pero era zurdo.
											Tenía una auténtica pasión por el golf
											y creó también todo un mito
											sobre Ben Hogan y otras cosas
											Bien, aprendí un montón de cosas interesantes
											de las que en ese momento no sabía nada y luego terminé aprendiendo,
											como el mito de la habilidad:
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Donc l'une des choses que j'aime faire, c'est d'explorer la technique.
											Et puisque Richard m'a branché sur toute cette histoire avec la musique,
											je suis vraiment censé travailler sur un projet avec Tod Machover
											avec le Media Lab du MIT, c'est en rapport étroit avec la musique.
											Mais Tod n'a pas pu venir et le projet en est je ne sais où,
											je ne sais pas si ça se fera comme nous le pensions, ou pas.
											Mais je vais explorer la technique, et le jonglage,
											et, je dirais, la musique visuelle, en gros.
											OK, vous pouvez démarrer la musique, merci.
									","
											So, one of the things that I love to do is to explore skill.
											And since Richard put me on this whole thing with music —
											I'm supposed to actually be doing a project with Tod Machover
											with the MIT Media Lab — it relates a lot to music.
											But Tod couldn't come and the project is sort of somewhere,
											I'm not sure whether it's happening the way we thought, or not.
											But I'm going to explore skill, and juggling,
											and basically visual music, I guess.
											OK, you can start the music, thanks.
									","
											Yapmaktan hoşlandığım şeylerden biri de budur:hüneri keşfetmek
											Richard beni müzikle yapılan bu şeye başlattığından beri -
											MIT Media Lab'la, Tod Machover ile birlikte bir proje yapıyor olmam gerekiyor.
											Müzikle çok ilgili.
											Ancak Tod gelemedi ve proje bir yerlerde kaldı,
											Düşündüğümüz gibi gibi olacak mı bilemiyorum.
											Ancak ben hüner ve jonglörlüğü keşfedeceğim.
											ve de görsel müziği de.
											Evet, müziği başlatabilirsiniz, teşekkürler.
									","
											Eines dieser Dinge, die ich liebe ist, diese Kunstfertigkeit zu erforschen.
											Und weil Richard mich auf dieses ganze Ding mit Musik ansetzte,
											soll ich effektiv ein Projekt mit Tod Machover durchführen.
											zusammen mit dem MIT Medienlabor, das viel mit Musik zu tun hat.
											Aber Tod konnte nicht kommen und das Projekt ist sozusagen irgendwo,
											Ich weiss nicht so genau, ob es so stattfinden wird, wie wir dachten, oder nicht.
											Aber ich werde Geschicklichkeit und Jonglieren erforschen,
											und im Grunde sichtbare Musik, denke ich.
											OK, Sie können die Musik starten, danke.
									","
											una de las cosas que me gusta hacer es explorar la habilidad.
											Y dado que Richard me metió en este nuevo mundo con la música
											se suponía que yo iba a realizar un proyecto con Tod Machover
											del MIT Media Lab, que está muy vinculado a la música.
											Pero Tod no pudo venir y el proyecto quedó truncado,
											No sé si está saliendo como lo teníamos pensado o no.
											Pero voy a explorar habilidad y malabarismo
											y esencialmente la música visual, supongo.
											Bueno, pueden poner la música, gracias.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Musique)
									","
											(Music)
									","
											(Müzik)
									","
											(Music)
									","
											(Música)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Alkış)
									","
											(Applause)
									","
											(Aplausos)
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
","
","
","
","
",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
"
											Merci. Merci. On peut prendre beaucoup de plaisir à jongler,
											jouer de sa technique, et jouer avec l'espace, jouer avec le rythme.
											Et vous pouvez brancher le micro maintenant, je vais faire un ou deux numéros.
											Je fais un grand numéro dans un triangle
											et en voici trois extraits.
											Une des difficultés était d'essayer de comprendre le rythme et l'espace
											en utilisant non seulement mes mains — parce que le jonglage utilise surtout les mains —
											mais en utilisant le rythme de mon corps et de mes pieds,
											et en contrôlant les balles avec mes pieds.
									","
											Thanks. Thank you. Now, juggling can be a lot of fun;
											play with skill and play with space, play with rhythm.
											And you can turn the mike on now. I'm going to do a couple of pieces.
											I do a big piece in a triangle
											and these are three sections from it.
											Part of the challenge was to try to understand rhythm and space
											using not just my hands — because a lot of juggling is hand-oriented —
											but using the rhythm of my body and feet,
											and controlling the balls with my feet.
									","
											Teşekkürler. Teşekkür ederim. Jonglörlük çok keyifli olabilr.
											hünerle oynamak ve alanla oynamak, ritimle oynamak.
											Ve şimdi mikrofonu açabilirsiniz. Birkaç numara yapacağım.
											Bir üçgen içinde bir numaram var,
											ve bunlar ondan üç parça
											Zorluğun büyük bölümü ritim ve alanı anlamakla ilgili idi.
											sadece ellerimi değil - çünkü jonglörlüklüğün büyük kısmı ellerle ilgilidir -
											vücudumun ve ayaklarımın ritmini de kullanarak.
											ve topları ayaklarımla kontrol ederek.
									","
											Danke. Ich danke Ihnen. Also, Jonglieren kann viel Spass machen,
											mit Können spielen, mit Raum spielen und mit Rhythmus.
											Sie können jetzt das Mikrophon einschalten, ich führe jetzt einige Stücke vor.
											Zum Beispiel eine Nummer in einem Dreieck.
											Das sind drei Teile davon.
											Ein Teil der Herausforderung war, zu versuchen, Rhythmus und Raum zu verstehen.
											indem ich nicht nur meine Hände - beim Jonglieren ist viel handorientiert -
											sondern den Rhythmus meines Körpers und der Füsse,
											und die Bälle mit meinen Füssen zu kontrollieren.
									","
											Gracias. Muchas gracias. El malabarismo puede ser muy divertido,
											jugar con la habilidad, con el espacio y con el ritmo.
											Pueden encender el micro ahora, voy a hacer un par de números.
											Hago un gran número en un triángulo
											y estas son tres secciones del espectáculo.
											Parte del desafío era tratar de entender el ritmo y el espacio
											usando no sólo las manos (el malabarismo se centra mucho de las manos)
											sino el ritmo corporal y el de los pies
											controlando las pelotas con los pies.
									",Juggling as art ... and science,Michael Moschen,37:02,"MacArthur grant,dance,entertainment,math,music,physics,sports"
